지방세/인구,가평군,고양시,과천시,광명시,광주시,구리시,군포시,김포시,남양주시,동두천시,부천시,성남시,수원시,시흥시,안산시,안성시,안양시,양주시,양평군,여주군,연천군,오산시,용인시,의왕시,의정부시,이천시,파주시,평택시,포천시,하남시,화성시
2006,399398.414000547,323333.399252477,554297.146258391,252096.549787473,546773.670557717,243052.510485073,326227.651337187,439217.799676650,243850.094662964,252322.179877160,253609.218390270,425184.306888978,374261.160476225,344634.895269120,312615.999278783,515924.963201904,335746.780290895,305130.560757570,310169.412964379,582230.389823085,720889.853499729,346868.557930028,532430.870541334,309953.491063485,239873.168215157,476413.419835468,360236.650817074,409133.870175041,377537.849162899,361137.482940723,661360.991195179
2007,491992.531150131,378444.248134000,670385.770014930,288480.890936333,644006.820193704,279014.227642276,357293.055046105,562144.108894790,284941.311717143,277427.348501915,271961.733120225,589902.092330915,422561.726024677,392647.555842320,377716.157948485,483879.242425168,356297.771376665,342424.714030037,378211.985342650,705936.816115818,884678.639563187,415292.302417281,602745.990848363,338495.952121710,268555.634308634,564905.897562995,457514.210202382,485491.653787476,441861.200333848,421494.775069094,708714.634434850
2008,565157.245920011,393024.942721320,730486.348000058,319805.733314869,722592.076736648,317811.450217997,376685.039086422,527407.017575697,314110.230554671,292849.672483074,308052.065397532,634956.660692856,443192.730168396,455430.343521168,424396.793819193,614527.116694683,482594.122967245,475026.957324055,386585.311539661,866825.019794141,1017430.486866690,410538.016600438,670875.149829265,421658.437927547,281641.596011596,621899.681131855,517251.352984278,517870.972976561,429527.519728299,434077.333296203,721228.697196420
2009,619953.443124175,396512.935883015,694763.286096962,329666.483165053,759718.839984408,334444.484209558,385332.080904940,595912.402294015,337578.611262902,321314.008003347,314158.152708680,605509.771212162,425744.234957121,453062.486177848,412778.976559022,613805.369795049,436625.269444179,515331.729871613,421191.908146528,883197.024646584,1001370.438319220,420023.288717493,654644.162801893,418104.121413462,287284.690771401,661314.659537408,565305.825498203,545717.267987182,565968.879576672,454612.764697172,717033.414169691
2010,600288.673798608,418884.029827968,734929.924321034,308173.102080923,760325.714903378,333404.617154961,377854.519808361,626208.887341140,342290.313946336,323879.021044818,321145.698602840,607099.643946582,448499.584700265,461377.870563674,412483.861176039,641974.406672024,426522.484615112,515652.801643061,436071.081986372,686389.016018307,1123824.069770020,406649.280063118,672339.284695682,428687.696262284,288753.384082019,611071.349243565,542920.772034013,590096.243476685,582384.752108308,483389.708863031,733910.856835588
2011,597105.697631322,418938.474198404,743728.719338475,333027.424794356,742608.079269442,349828.869925750,411139.808001559,627501.031152478,357658.366249773,309600.739717204,336240.847634025,617657.299991933,488899.750020441,472729.584269187,438988.465397590,624715.756626813,443926.827604354,531039.129566780,435542.592778839,850128.299120235,769354.120267261,392986.817403503,707265.491426760,430327.457939802,299210.037174721,643044.298661557,554790.253174582,565560.828886401,579678.034019764,595968.921204607,827329.637262585
2012,607954.732374905,429022.719493234,825533.292058310,364624.817189785,705288.475491192,374179.192163917,430328.997597972,583094.436249269,358608.864477540,338770.259840494,359726.603091693,651376.690526918,494370.939551425,490604.152846790,463032.157380424,685718.690806572,454048.988243607,505651.240577106,460002.152789330,914970.333181196,871488.409833549,402928.738685213,709922.605706151,447133.247607540,303784.018063740,669461.294084922,532588.704747071,569887.521442304,593491.961741316,648893.477086738,826559.972597005
2013,580772.571578413,439691.854496043,764104.961886140,365729.255168508,643165.828970453,380113.876001687,426305.422848043,562142.777092906,357752.242016481,335701.179823078,367677.024961793,666762.970963744,542675.783886698,536629.995085252,498160.203792811,732682.669769944,469996.397297480,529413.537006071,485524.030110017,912998.545860274,954987.941240956,424043.609461696,709048.654401541,452519.840773102,306040.243540244,688746.781909587,572107.797011834,626196.174954868,604643.589203272,618039.091360203,1009114.551410560
2014,642837.305801055,438846.339625942,771238.383032100,376414.390635759,656736.644158764,387886.735895514,458253.585198746,539508.095559931,359132.173213298,345816.896357395,373852.540831664,712965.623101801,580010.015090766,563248.943971579,509264.334431454,751434.885868848,492718.983903370,540945.801496496,496541.056567248,912597.612016017,940061.283424817,429405.700860643,744892.437873689,477025.782107747,313023.065931823,744095.525183646,557233.777725916,613884.841676769,642421.597196370,649446.593595530,1127936.516153840
2015,685056.766868791,430355.429343309,842790.009572709,417310.669086145,633737.391187508,414345.467301482,492569.186732007,571324.894997000,381052.070995051,351113.560740605,386606.626485447,797638.312415588,656704.574616081,600339.982322928,564962.708755741,804982.269601940,494739.782766160,544291.952588896,504200.672107537,942962.902920753,872148.715144888,477067.901831474,786372.683054811,537593.508304805,315098.735530734,1147680.972015520,609766.583750865,698539.949449767,654376.514253312,669413.902934984,1306136.373161230
