보조금/총 예산,가평군,고양시,과천시,광명시,광주시,구리시,군포시,김포시,남양주시,동두천시,부천시,성남시,수원시,시흥시,안산시,안성시,안양시,양주시,양평군,여주군,연천군,오산시,용인시,의왕시,의정부시,이천시,파주시,평택시,포천시,하남시,화성시
2006,0.283086132005509,0.207661097183719,0.110702799249350,0.179934864536040,0.241827759586798,0.238506251429240,0.129743305778586,0.242707053774008,0.250346847932228,0.255360495372353,0.198094684369549,0.114756266816312,0.152363760755730,0.232401302679375,0.240252814867523,0.347471664567746,0.154886616388675,0.258420979561512,0.345606580865097,0.297039590245788,0.296861642592119,0.090601191398273,0.120464328498263,0.174604787984598,0.273905736701207,0.291700970819225,0.299561060539947,0.307276637774270,0.298480678632647,0.200824264341671,0.210085759024400
2007,0.288839151701365,0.169341465793747,0.100803832624069,0.171131748027827,0.203903856792529,0.237555945388090,0.156251402246586,0.233801846117228,0.210898796886058,0.299570312719982,0.162631292462149,0.101436854992564,0.175571813427711,0.255329526935394,0.256459605946824,0.278299383116500,0.177915605820262,0.287416489663341,0.300636843465363,0.254053733389580,0.283730901809121,0.141716014901257,0.148059102095939,0.152392515121654,0.259721395820937,0.268818602482244,0.274196925224245,0.293551902004376,0.281293516448419,0.267864921140177,0.193061864670109
2008,0.255995721749146,0.205670031989175,0.095864336390379,0.178973833690288,0.222838901073585,0.202698238085384,0.157798941347525,0.242295738568904,0.238179353338111,0.264893549193956,0.211424602996806,0.117070409816388,0.194598082441973,0.271477076085898,0.238179854689297,0.264729663221543,0.173048435918053,0.220576906616451,0.276314965364332,0.234570321509295,0.277127389316187,0.181598052351803,0.129054336666793,0.131842040716213,0.219339740676755,0.255825421217860,0.281930485950532,0.278890218974102,0.255010011749326,0.234728927243987,0.162774966263749
2009,0.290633379636974,0.255649510188504,0.101797326069860,0.225913583860581,0.264110868860139,0.249814033246940,0.198643613151385,0.286729687601014,0.294203588865175,0.360383510289569,0.271294032059213,0.135154619136881,0.237892242629555,0.279960888937597,0.299423972408850,0.309640843594888,0.215334470525110,0.280266219698118,0.350139660713668,0.293562373701278,0.322780942137043,0.187976431670852,0.164241669594018,0.244008883497581,0.362179630962143,0.240484486477518,0.308095908503752,0.315554782710206,0.307113155015692,0.289494134626059,0.175942953227720
2010,0.284486753335839,0.250777517894928,0.090461840623105,0.221328473224279,0.227408663055912,0.254170098637896,0.214243067858157,0.318112597308890,0.279224255263413,0.375894806542825,0.280696720478508,0.150068965748971,0.249497302907623,0.283844766221105,0.269469254824678,0.302866812047400,0.204958084695391,0.293954460206175,0.322333182306246,0.303373523322372,0.327815347126030,0.240989725841231,0.143733928986708,0.219953882655125,0.359770563192616,0.245173804342591,0.287750262655559,0.296093590446746,0.299601775166573,0.248020567174537,0.205232701265390
2011,0.337997829060346,0.276048638362297,0.084375818093422,0.212471290823649,0.289984959157048,0.247000899636005,0.209187080760025,0.261900878239743,0.313419333320543,0.414270152505447,0.267673035729999,0.140686497362392,0.244136328262072,0.275474186707035,0.283646382568076,0.307153448188800,0.212594479985824,0.351830908851996,0.325231593818413,0.277241082489517,0.383122705350486,0.250801758910269,0.162219797102772,0.184030512831143,0.354270275294988,0.271436547314309,0.348113588473101,0.289680717863105,0.356010000803787,0.317061297851892,0.216796777997614
2012,0.266856454971369,0.245032100642013,0.089547614529315,0.227197559818582,0.287953295115576,0.234758998862041,0.246799419138389,0.305480708593705,0.310024651400054,0.442363054850666,0.278414517669532,0.177892792068857,0.259343329344089,0.268363055255556,0.281410602322952,0.317489823609227,0.225673232546932,0.393306737206717,0.273260983392774,0.264995533418153,0.381392571852096,0.283433732812621,0.149416062733399,0.207752898840464,0.285357720459509,0.276455736738205,0.376474135521923,0.272653200209172,0.373427765250728,0.203273023487861,0.197379677298081
2013,0.271334251204706,0.298763423896363,0.122530465404981,0.282259625907032,0.281302862979158,0.232178443585114,0.290159905265411,0.275810066006321,0.346917655274847,0.428923282546616,0.315707994497047,0.194113423443842,0.266850502626010,0.299061684725415,0.261934282348220,0.325548501694023,0.268277220959372,0.376052503118729,0.309483634937589,0.310619117692507,0.350694258152436,0.276482995297997,0.234962113009947,0.258537358370969,0.375737100526635,0.360439152128525,0.331463934827454,0.312669375124498,0.338405966429100,0.281121023919685,0.237441684168877
2014,0.258025044745227,0.325394601585719,0.119469376550017,0.304729646483314,0.302628139677353,0.236076210031217,0.282344395622715,0.319702588819302,0.378441858957895,0.401408231298875,0.332146693110459,0.222048013628317,0.278012374047239,0.291398088464103,0.313435740939079,0.316941832169553,0.265827321843591,0.316407463872546,0.309901078335264,0.261059338249744,0.277185329807478,0.313711828234006,0.235402786723562,0.254980823405627,0.382164067646600,0.292775238949762,0.356237444472739,0.330527551696527,0.379781063442974,0.227694366219097,0.231253893662947
2015,0.112119956396768,0.325770741262698,0.237016642192854,0.251861895223016,0.353120170273754,0.201642497471878,0.313091787760011,0.303017169528255,0.263975599749382,0.108476970717525,0.273652037107905,0.463642554026658,0.413564108316384,0.305800630814764,0.350771730011485,0.282269175086010,0.341533209846319,0.216025502150970,0.119275953270681,0.237333164079501,0.111965252840614,0.244611147332905,0.432448335020368,0.271751321903541,0.146400404297373,0.350465200832057,0.323501065900338,0.299073587720970,0.184784408485737,0.303970409188840,0.477073741818830
