회계연도, 지역명, 자치단체코드, 자치단체명, 분야코드, 분야명, 부문코드, 부문명, 정책사업예산총계, 행정운영경비총계, 재무활동총계, 정책사업예산순계, 재무활동순계, 행정운영경비순계
2014, 부산,2611000, 부산중구,90, 보건,93, 식품의약안전,18174000,0,0,18174000,0,0
2014, 부산,2611000, 부산중구,90, 보건,91, 보건의료,1957264000,0,0,1957264000,0,0
2014, 부산,2611000, 부산중구,80, 사회복지,88, 주택,26720000,25000000,0,26720000,25000000,0
2014, 부산,2611000, 부산중구,80, 사회복지,86, 노동,348870000,0,0,348870000,0,0
2014, 부산,2611000, 부산중구,80, 사회복지,85, 노인ㆍ청소년,15060922000,0,0,15060922000,0,0
2014, 부산,2611000, 부산중구,80, 사회복지,84, 보육ㆍ가족및여성,6910296000,0,0,6910296000,0,0
2014, 부산,2611000, 부산중구,80, 사회복지,82, 취약계층지원,3660359000,0,0,3660359000,0,0
2014, 부산,2611000, 부산중구,80, 사회복지,81, 기초생활보장,10423897000,0,0,10423897000,0,0
2014, 부산,2611000, 부산중구,70, 환경보호,76, 환경보호일반,152913000,0,0,152913000,0,0
2014, 부산,2611000, 부산중구,70, 환경보호,72, 폐기물,4137274000,0,0,4137274000,0,0
2014, 부산,2611000, 부산중구,70, 환경보호,71, 상하수도ㆍ수질,0,0,0,0,0,0
2014, 부산,2611000, 부산중구,60, 문화및관광,65, 문화및관광일반,875347000,0,0,875347000,0,0
2014, 부산,2611000, 부산중구,60, 문화및관광,63, 체육,815683000,0,0,815683000,0,0
2014, 부산,2611000, 부산중구,60, 문화및관광,61, 문화예술,173052000,0,0,173052000,0,0
2014, 부산,2611000, 부산중구,50, 교육,53, 평생ㆍ직업교육,56078000,0,0,56078000,0,0
2014, 부산,2611000, 부산중구,50, 교육,51, 유아및초중등교육,342820000,0,0,342820000,0,0
2014, 부산,2611000, 부산중구,20, 공공질서및안전,25, 재난방재ㆍ민방위,1004334000,149890000,0,1004334000,149890000,0
2014, 부산,2611000, 부산중구,10, 일반공공행정,16, 일반행정,5250476000,0,0,5190476000,0,0
2014, 부산,2611000, 부산중구,10, 일반공공행정,13, 지방행정ㆍ재정지원,893577000,0,0,893577000,0,0
2014, 부산,2611000, 부산중구,10, 일반공공행정,11, 입법및선거관리,1403647000,0,0,1403647000,0,0
2014, 부산,2611000, 부산중구,900, 기타,901, 기타,0,0,1842718000,0,0,1842718000
2014, 부산,2611000, 부산중구,140, 국토및지역개발,142, 지역및도시,2333000,0,0,2333000,0,0
2014, 부산,2611000, 부산중구,120, 수송및교통,126, 대중교통ㆍ물류등기타,9301752000,0,0,9297752000,0,0
2014, 부산,2611000, 부산중구,110, 산업ㆍ중소기업,115, 에너지및자원개발,45900000,0,0,45900000,0,0
2014, 부산,2611000, 부산중구,80, 사회복지,88, 주택,414356000,0,0,414356000,0,0
2014, 부산,2611000, 부산중구,80, 사회복지,82, 취약계층지원,1122180000,0,0,1122180000,0,0
2014, 부산,2611000, 부산중구,80, 사회복지,81, 기초생활보장,131578000,0,0,131578000,0,0
2014, 부산,2611000, 부산중구,70, 환경보호,71, 상하수도ㆍ수질,160220000,0,0,160220000,0,0
2014, 부산,2611000, 부산중구,900, 기타,901, 기타,0,0,34725520000,6168369000,0,34725520000
2014, 부산,2611000, 부산중구,160, 예비비,161, 예비비,1034940000,0,0,1034940000,0,0
2014, 부산,2611000, 부산중구,140, 국토및지역개발,142, 지역및도시,2614937000,0,0,2614937000,0,0
2014, 부산,2611000, 부산중구,120, 수송및교통,126, 대중교통ㆍ물류등기타,15009000,0,0,15009000,0,0
2014, 부산,2611000, 부산중구,120, 수송및교통,121, 도로,1945955000,0,0,1945955000,0,0
