회계연도, 지역명, 자치단체코드, 자치단체명, 분야코드, 분야명, 부문코드, 부문명, 정책사업예산총계, 행정운영경비총계, 재무활동총계, 정책사업예산순계, 재무활동순계, 행정운영경비순계
2014, 대구,2711000, 대구중구,80, 사회복지,82, 취약계층지원,1350125000,0,0,1350125000,0,0
2014, 대구,2711000, 대구중구,80, 사회복지,81, 기초생활보장,269479000,26396000,0,269479000,23896000,0
2014, 대구,2711000, 대구중구,900, 기타,901, 기타,0,0,47528156000,2254439000,0,47528156000
2014, 대구,2711000, 대구중구,160, 예비비,161, 예비비,1944722000,0,0,1944722000,0,0
2014, 대구,2711000, 대구중구,140, 국토및지역개발,142, 지역및도시,10470328000,0,0,10470328000,0,0
2014, 대구,2711000, 대구중구,120, 수송및교통,126, 대중교통ㆍ물류등기타,960698000,210500000,0,960698000,210500000,0
2014, 대구,2711000, 대구중구,120, 수송및교통,121, 도로,3039730000,0,0,3039730000,0,0
2014, 대구,2711000, 대구중구,110, 산업ㆍ중소기업,115, 에너지및자원개발,37290000,0,0,37290000,0,0
2014, 대구,2711000, 대구중구,110, 산업ㆍ중소기업,114, 산업진흥ㆍ고도화,1445616000,8000000,0,1445616000,8000000,0
2014, 대구,2711000, 대구중구,100, 농림해양수산,101, 농업ㆍ농촌,75185000,0,0,75185000,0,0
2014, 대구,2711000, 대구중구,90, 보건,93, 식품의약안전,72116000,0,0,72116000,0,0
2014, 대구,2711000, 대구중구,90, 보건,91, 보건의료,3489861000,0,0,3489861000,0,0
2014, 대구,2711000, 대구중구,80, 사회복지,87, 보훈,324510000,0,0,324510000,0,0
2014, 대구,2711000, 대구중구,80, 사회복지,86, 노동,2378445000,0,0,2378445000,0,0
2014, 대구,2711000, 대구중구,80, 사회복지,85, 노인ㆍ청소년,21831488000,0,0,21831488000,0,0
2014, 대구,2711000, 대구중구,80, 사회복지,84, 보육ㆍ가족및여성,12594284000,0,0,12594284000,0,0
2014, 대구,2711000, 대구중구,80, 사회복지,82, 취약계층지원,12195707000,0,0,12195707000,0,0
2014, 대구,2711000, 대구중구,80, 사회복지,81, 기초생활보장,16460211000,0,0,16460211000,0,0
2014, 대구,2711000, 대구중구,70, 환경보호,73, 대기,159384000,0,0,159384000,0,0
2014, 대구,2711000, 대구중구,70, 환경보호,72, 폐기물,3533535000,0,0,3533535000,0,0
2014, 대구,2711000, 대구중구,70, 환경보호,71, 상하수도ㆍ수질,58370000,0,0,58370000,0,0
2014, 대구,2711000, 대구중구,60, 문화및관광,65, 문화및관광일반,0,0,0,0,0,0
2014, 대구,2711000, 대구중구,60, 문화및관광,64, 문화재,373881000,0,0,373881000,0,0
2014, 대구,2711000, 대구중구,60, 문화및관광,63, 체육,740244000,0,0,740244000,0,0
2014, 대구,2711000, 대구중구,60, 문화및관광,62, 관광,411177000,0,0,411177000,0,0
2014, 대구,2711000, 대구중구,60, 문화및관광,61, 문화예술,1394549000,0,0,1394549000,0,0
2014, 대구,2711000, 대구중구,50, 교육,53, 평생ㆍ직업교육,72460000,0,0,72460000,0,0
2014, 대구,2711000, 대구중구,50, 교육,51, 유아및초중등교육,175220000,0,0,175220000,0,0
2014, 대구,2711000, 대구중구,20, 공공질서및안전,25, 재난방재ㆍ민방위,256385000,229614000,0,256385000,229614000,0
2014, 대구,2711000, 대구중구,10, 일반공공행정,16, 일반행정,8691295000,0,0,8691295000,0,0
2014, 대구,2711000, 대구중구,10, 일반공공행정,14, 재정ㆍ금융,0,1327000000,0,0,827000000,0
2014, 대구,2711000, 대구중구,10, 일반공공행정,13, 지방행정ㆍ재정지원,351607000,0,0,351607000,0,0
2014, 대구,2711000, 대구중구,10, 일반공공행정,11, 입법및선거관리,1458432000,0,0,1458432000,0,0
2014, 대구,2712000, 대구동구,900, 기타,901, 기타,0,0,951286000,0,0,951286000
2014, 대구,2712000, 대구동구,140, 국토및지역개발,142, 지역및도시,0,33000000,0,0,33000000,0
2014, 대구,2712000, 대구동구,120, 수송및교통,126, 대중교통ㆍ물류등기타,1481145000,0,0,1481145000,0,0
2014, 대구,2712000, 대구동구,110, 산업ㆍ중소기업,115, 에너지및자원개발,1321900000,0,0,1321900000,0,0
2014, 대구,2712000, 대구동구,80, 사회복지,81, 기초생활보장,971499000,61170000,0,971499000,52170000,0
2014, 대구,2712000, 대구동구,70, 환경보호,72, 폐기물,0,0,0,0,0,0
2014, 대구,2712000, 대구동구,900, 기타,901, 기타,0,0,67066960000,4871807000,0,67066960000
2014, 대구,2712000, 대구동구,160, 예비비,161, 예비비,4647899000,0,0,4647899000,0,0
2014, 대구,2712000, 대구동구,140, 국토및지역개발,142, 지역및도시,3553052000,0,0,3553052000,0,0
2014, 대구,2712000, 대구동구,140, 국토및지역개발,141, 수자원,5640636000,0,0,5640636000,0,0
2014, 대구,2712000, 대구동구,120, 수송및교통,126, 대중교통ㆍ물류등기타,982248000,0,0,982248000,0,0
2014, 대구,2712000, 대구동구,120, 수송및교통,121, 도로,4549972000,0,0,4549972000,0,0
2014, 대구,2712000, 대구동구,110, 산업ㆍ중소기업,114, 산업진흥ㆍ고도화,353360000,0,0,353360000,0,0
2014, 대구,2712000, 대구동구,100, 농림해양수산,102, 임업ㆍ산촌,2060042000,0,0,2060042000,0,0
2014, 대구,2712000, 대구동구,100, 농림해양수산,101, 농업ㆍ농촌,4161711000,0,0,4161711000,0,0
2014, 대구,2712000, 대구동구,90, 보건,93, 식품의약안전,415576000,0,0,415576000,0,0
2014, 대구,2712000, 대구동구,90, 보건,91, 보건의료,10699674000,0,0,10699674000,0,0
2014, 대구,2712000, 대구동구,80, 사회복지,89, 사회복지일반,10189647000,0,0,10189647000,0,0
2014, 대구,2712000, 대구동구,80, 사회복지,85, 노인ㆍ청소년,73242903000,0,0,73242903000,0,0
2014, 대구,2712000, 대구동구,80, 사회복지,84, 보육ㆍ가족및여성,62753055000,0,0,62753055000,0,0
2014, 대구,2712000, 대구동구,80, 사회복지,82, 취약계층지원,34996305000,0,0,34996305000,0,0
2014, 대구,2712000, 대구동구,80, 사회복지,81, 기초생활보장,57012463000,0,0,57012463000,0,0
2014, 대구,2712000, 대구동구,70, 환경보호,76, 환경보호일반,1423861000,0,0,1423861000,0,0
2014, 대구,2712000, 대구동구,70, 환경보호,73, 대기,0,0,0,0,0,0
2014, 대구,2712000, 대구동구,70, 환경보호,72, 폐기물,7806169000,0,0,7806169000,0,0
2014, 대구,2712000, 대구동구,70, 환경보호,71, 상하수도ㆍ수질,0,0,0,0,0,0
2014, 대구,2712000, 대구동구,60, 문화및관광,64, 문화재,2550384000,0,0,2550384000,0,0
2014, 대구,2712000, 대구동구,60, 문화및관광,63, 체육,958952000,0,0,958952000,0,0
2014, 대구,2712000, 대구동구,60, 문화및관광,62, 관광,0,0,0,0,0,0
2014, 대구,2712000, 대구동구,60, 문화및관광,61, 문화예술,3933617000,0,0,3933617000,0,0
2014, 대구,2712000, 대구동구,50, 교육,53, 평생ㆍ직업교육,3443214000,0,0,3443214000,0,0
2014, 대구,2712000, 대구동구,20, 공공질서및안전,25, 재난방재ㆍ민방위,621488000,336000000,0,621488000,336000000,0
2014, 대구,2712000, 대구동구,10, 일반공공행정,16, 일반행정,13437217000,415000000,0,13437217000,365000000,0
2014, 대구,2712000, 대구동구,10, 일반공공행정,13, 지방행정ㆍ재정지원,662528000,0,0,662528000,0,0
2014, 대구,2712000, 대구동구,10, 일반공공행정,11, 입법및선거관리,936067000,0,0,936067000,0,0
2014, 대구,2713000, 대구서구,900, 기타,901, 기타,0,0,93486000,0,0,93486000
2014, 대구,2713000, 대구서구,80, 사회복지,82, 취약계층지원,370179000,0,0,370179000,0,0
2014, 대구,2713000, 대구서구,80, 사회복지,81, 기초생활보장,0,326335000,0,0,286865000,0
