회계연도, 지역명, 자치단체코드, 자치단체명, 분야코드, 분야명, 부문코드, 부문명, 정책사업예산총계, 행정운영경비총계, 재무활동총계, 정책사업예산순계, 재무활동순계, 행정운영경비순계
2014, 인천,2811000, 인천중구,900, 기타,901, 기타,0,0,252927000,0,0,252927000
2014, 인천,2811000, 인천중구,160, 예비비,161, 예비비,0,0,0,0,0,0
2014, 인천,2811000, 인천중구,140, 국토및지역개발,142, 지역및도시,4649370000,0,0,4649370000,0,0
2014, 인천,2811000, 인천중구,140, 국토및지역개발,141, 수자원,41500000,0,0,41500000,0,0
2014, 인천,2811000, 인천중구,120, 수송및교통,126, 대중교통ㆍ물류등기타,7700790000,0,0,7700790000,0,0
2014, 인천,2811000, 인천중구,110, 산업ㆍ중소기업,116, 산업ㆍ중소기업일반,0,0,0,0,0,0
2014, 인천,2811000, 인천중구,80, 사회복지,81, 기초생활보장,135600000,21040000,0,135600000,0,0
2014, 인천,2811000, 인천중구,70, 환경보호,72, 폐기물,8834085000,0,0,8834085000,0,0
2014, 인천,2811000, 인천중구,10, 일반공공행정,14, 재정ㆍ금융,0,0,0,0,0,0
2014, 인천,2811000, 인천중구,900, 기타,901, 기타,0,0,48445354000,5904383000,0,48445354000
2014, 인천,2811000, 인천중구,160, 예비비,161, 예비비,3473212000,0,0,3473212000,0,0
2014, 인천,2811000, 인천중구,140, 국토및지역개발,142, 지역및도시,9437541000,0,0,8785765000,0,0
2014, 인천,2811000, 인천중구,140, 국토및지역개발,141, 수자원,2158700000,0,0,2158700000,0,0
2014, 인천,2811000, 인천중구,120, 수송및교통,126, 대중교통ㆍ물류등기타,1655021000,0,0,1655021000,0,0
2014, 인천,2811000, 인천중구,120, 수송및교통,125, 항공ㆍ공항,1409700000,0,0,1409700000,0,0
2014, 인천,2811000, 인천중구,120, 수송및교통,124, 해운ㆍ항만,145817000,0,0,145817000,0,0
2014, 인천,2811000, 인천중구,120, 수송및교통,121, 도로,12010569000,0,0,12010569000,0,0
2014, 인천,2811000, 인천중구,110, 산업ㆍ중소기업,116, 산업ㆍ중소기업일반,402578000,100000000,0,402578000,100000000,0
2014, 인천,2811000, 인천중구,110, 산업ㆍ중소기업,114, 산업진흥ㆍ고도화,2050006000,0,0,2050006000,0,0
2014, 인천,2811000, 인천중구,110, 산업ㆍ중소기업,112, 산업기술지원,20000000,0,0,20000000,0,0
2014, 인천,2811000, 인천중구,100, 농림해양수산,103, 해양수산ㆍ어촌,3708646000,0,0,3708646000,0,0
2014, 인천,2811000, 인천중구,100, 농림해양수산,102, 임업ㆍ산촌,463587000,0,0,463587000,0,0
2014, 인천,2811000, 인천중구,100, 농림해양수산,101, 농업ㆍ농촌,1274455000,0,0,1274455000,0,0
2014, 인천,2811000, 인천중구,90, 보건,93, 식품의약안전,148654000,0,0,148654000,0,0
2014, 인천,2811000, 인천중구,90, 보건,91, 보건의료,4663627000,0,0,4663627000,0,0
2014, 인천,2811000, 인천중구,80, 사회복지,89, 사회복지일반,0,0,0,0,0,0
2014, 인천,2811000, 인천중구,80, 사회복지,87, 보훈,1004890000,0,0,1004890000,0,0
2014, 인천,2811000, 인천중구,80, 사회복지,86, 노동,1570645000,0,0,1570645000,0,0
