회계연도, 지역명, 자치단체코드, 자치단체명, 분야코드, 분야명, 부문코드, 부문명, 정책사업예산총계, 행정운영경비총계, 재무활동총계, 정책사업예산순계, 재무활동순계, 행정운영경비순계
2014, 제주,4900000, 제주본청,900, 기타,901, 기타,0,0,7248113000,0,0,7248113000
2014, 제주,4900000, 제주본청,140, 국토및지역개발,142, 지역및도시,56887679000,5148875000,0,56887679000,148875000,0
2014, 제주,4900000, 제주본청,120, 수송및교통,126, 대중교통ㆍ물류등기타,9451717000,30000000,0,9451717000,30000000,0
2014, 제주,4900000, 제주본청,120, 수송및교통,121, 도로,0,0,0,0,0,0
2014, 제주,4900000, 제주본청,110, 산업ㆍ중소기업,116, 산업ㆍ중소기업일반,0,23916000000,0,0,23916000000,0
2014, 제주,4900000, 제주본청,110, 산업ㆍ중소기업,115, 에너지및자원개발,772100000,0,0,772100000,0,0
2014, 제주,4900000, 제주본청,110, 산업ㆍ중소기업,114, 산업진흥ㆍ고도화,0,0,0,0,0,0
2014, 제주,4900000, 제주본청,100, 농림해양수산,103, 해양수산ㆍ어촌,3338000000,0,0,3338000000,0,0
2014, 제주,4900000, 제주본청,100, 농림해양수산,101, 농업ㆍ농촌,0,20000000000,0,0,20000000000,0
2014, 제주,4900000, 제주본청,80, 사회복지,89, 사회복지일반,0,0,0,0,0,0
2014, 제주,4900000, 제주본청,80, 사회복지,88, 주택,2693398000,76641000,0,2693398000,76641000,0
2014, 제주,4900000, 제주본청,80, 사회복지,85, 노인ㆍ청소년,1.00185E+11,0,0,1.00185E+11,0,0
2014, 제주,4900000, 제주본청,80, 사회복지,84, 보육ㆍ가족및여성,1.28099E+11,0,0,1.28099E+11,0,0
2014, 제주,4900000, 제주본청,80, 사회복지,82, 취약계층지원,0,0,0,0,0,0
2014, 제주,4900000, 제주본청,80, 사회복지,81, 기초생활보장,80119621000,0,0,80119621000,0,0
2014, 제주,4900000, 제주본청,70, 환경보호,74, 자연,1640000000,0,0,1640000000,0,0
2014, 제주,4900000, 제주본청,70, 환경보호,72, 폐기물,0,0,0,0,0,0
2014, 제주,4900000, 제주본청,70, 환경보호,71, 상하수도ㆍ수질,7366364000,3510221000,0,7366364000,1533160000,0
2014, 제주,4900000, 제주본청,60, 문화및관광,64, 문화재,0,0,0,0,0,0
2014, 제주,4900000, 제주본청,60, 문화및관광,63, 체육,8000000000,0,0,8000000000,0,0
2014, 제주,4900000, 제주본청,60, 문화및관광,61, 문화예술,0,0,0,0,0,0
2014, 제주,4900000, 제주본청,20, 공공질서및안전,25, 재난방재ㆍ민방위,29324000000,0,0,29324000000,0,0
2014, 제주,4900000, 제주본청,10, 일반공공행정,16, 일반행정,9336266000,0,0,9336266000,0,0
2014, 제주,4900000, 제주본청,10, 일반공공행정,13, 지방행정ㆍ재정지원,3768907000,1138625000,0,3768907000,1138625000,0
2014, 제주,4900000, 제주본청,900, 기타,901, 기타,0,0,22409118000,0,0,22409118000
2014, 제주,4900000, 제주본청,70, 환경보호,71, 상하수도ㆍ수질,2.01931E+11,23605847000,0,2.01931E+11,9802498000,0
2014, 제주,4900000, 제주본청,10, 일반공공행정,13, 지방행정ㆍ재정지원,75133919000,48202335000,0,5133919000,48202335000,0
2014, 제주,4900000, 제주본청,900, 기타,901, 기타,0,0,4.4434E+11,0,0,4.4434E+11
2014, 제주,4900000, 제주본청,160, 예비비,161, 예비비,26498729000,0,0,26498729000,0,0
2014, 제주,4900000, 제주본청,150, 과학기술,153, 과학기술일반,1979112000,0,0,1979112000,0,0
2014, 제주,4900000, 제주본청,140, 국토및지역개발,142, 지역및도시,58477340000,17110000000,0,58477340000,160000000,0
2014, 제주,4900000, 제주본청,120, 수송및교통,126, 대중교통ㆍ물류등기타,53283594000,6469400000,0,53283594000,0,0
2014, 제주,4900000, 제주본청,120, 수송및교통,125, 항공ㆍ공항,337680000,0,0,337680000,0,0
2014, 제주,4900000, 제주본청,120, 수송및교통,124, 해운ㆍ항만,90612383000,0,0,90612383000,0,0
2014, 제주,4900000, 제주본청,120, 수송및교통,121, 도로,1.46906E+11,0,0,1.46906E+11,0,0
2014, 제주,4900000, 제주본청,110, 산업ㆍ중소기업,116, 산업ㆍ중소기업일반,3510805000,0,0,3510805000,0,0
2014, 제주,4900000, 제주본청,110, 산업ㆍ중소기업,115, 에너지및자원개발,16500836000,49700000,0,16500836000,49700000,0
2014, 제주,4900000, 제주본청,110, 산업ㆍ중소기업,114, 산업진흥ㆍ고도화,34877126000,48000000,0,34877126000,0,0
2014, 제주,4900000, 제주본청,110, 산업ㆍ중소기업,113, 무역및투자유치,12066158000,0,0,12066158000,0,0
2014, 제주,4900000, 제주본청,100, 농림해양수산,103, 해양수산ㆍ어촌,92525211000,0,0,92525211000,0,0
2014, 제주,4900000, 제주본청,100, 농림해양수산,102, 임업ㆍ산촌,31735816000,490890000,0,31735816000,490890000,0
2014, 제주,4900000, 제주본청,100, 농림해양수산,101, 농업ㆍ농촌,2.99697E+11,8436880000,0,2.99697E+11,8436880000,0
2014, 제주,4900000, 제주본청,90, 보건,93, 식품의약안전,1655273000,0,0,1655273000,0,0
2014, 제주,4900000, 제주본청,90, 보건,91, 보건의료,42224763000,342000000,0,42224763000,0,0
2014, 제주,4900000, 제주본청,80, 사회복지,89, 사회복지일반,3599285000,234600000,0,3599285000,0,0
2014, 제주,4900000, 제주본청,80, 사회복지,88, 주택,0,100000000,0,0,100000000,0
2014, 제주,4900000, 제주본청,80, 사회복지,87, 보훈,4696945000,165600000,0,4696945000,0,0
2014, 제주,4900000, 제주본청,80, 사회복지,86, 노동,13849790000,30000000,0,13849790000,30000000,0
2014, 제주,4900000, 제주본청,80, 사회복지,85, 노인ㆍ청소년,72210017000,12382784000,0,72210017000,222400000,0
2014, 제주,4900000, 제주본청,80, 사회복지,84, 보육ㆍ가족및여성,1.017E+11,34620680000,0,1.017E+11,100000000,0
2014, 제주,4900000, 제주본청,80, 사회복지,82, 취약계층지원,1.01645E+11,0,0,1.01645E+11,0,0
2014, 제주,4900000, 제주본청,80, 사회복지,81, 기초생활보장,80361674000,16050613000,0,80361674000,100000000,0
2014, 제주,4900000, 제주본청,70, 환경보호,76, 환경보호일반,4839288000,276120000,0,4839288000,270000000,0
2014, 제주,4900000, 제주본청,70, 환경보호,75, 해양,13030531000,0,0,13030531000,0,0
2014, 제주,4900000, 제주본청,70, 환경보호,74, 자연,16719014000,0,0,16719014000,0,0
2014, 제주,4900000, 제주본청,70, 환경보호,73, 대기,2504770000,0,0,2504770000,0,0
2014, 제주,4900000, 제주본청,70, 환경보호,72, 폐기물,57279708000,0,0,57279708000,0,0
2014, 제주,4900000, 제주본청,70, 환경보호,71, 상하수도ㆍ수질,744950000,55163714000,0,744950000,0,0
2014, 제주,4900000, 제주본청,60, 문화및관광,65, 문화및관광일반,15808244000,0,0,15808244000,0,0
2014, 제주,4900000, 제주본청,60, 문화및관광,64, 문화재,23365540000,0,0,23365540000,0,0
2014, 제주,4900000, 제주본청,60, 문화및관광,63, 체육,89412642000,0,0,89412642000,0,0
2014, 제주,4900000, 제주본청,60, 문화및관광,62, 관광,28917338000,0,0,28917338000,0,0
2014, 제주,4900000, 제주본청,60, 문화및관광,61, 문화예술,55117962000,0,0,55117962000,0,0
2014, 제주,4900000, 제주본청,50, 교육,53, 평생ㆍ직업교육,3826217000,0,0,3826217000,0,0
2014, 제주,4900000, 제주본청,50, 교육,52, 고등교육,1066400000,0,0,1066400000,0,0
2014, 제주,4900000, 제주본청,50, 교육,51, 유아및초중등교육,53381261000,0,0,53381261000,0,0
2014, 제주,4900000, 제주본청,20, 공공질서및안전,25, 재난방재ㆍ민방위,94886737000,4690300000,0,94886737000,3354300000,0
2014, 제주,4900000, 제주본청,20, 공공질서및안전,23, 경찰,1253279000,0,0,1253279000,0,0
2014, 제주,4900000, 제주본청,10, 일반공공행정,16, 일반행정,1.71039E+11,150190000,0,1.71039E+11,100190000,0
2014, 제주,4900000, 제주본청,10, 일반공공행정,13, 지방행정ㆍ재정지원,1.00034E+11,69243322000,0,1.00034E+11,49941864000,0
2014, 제주,4900000, 제주본청,10, 일반공공행정,11, 입법및선거관리,14568918000,0,0,14568918000,0,0
