회계연도, 지역명, 자치단체코드, 자치단체명, 분야코드, 분야명, 부문코드, 부문명, 정책사업예산총계, 행정운영경비총계, 재무활동총계, 정책사업예산순계, 재무활동순계, 행정운영경비순계
2014, 전남,4611000, 전남목포시,900, 기타,901, 기타,0,0,1067758000,0,0,1067758000
2014, 전남,4611000, 전남목포시,140, 국토및지역개발,142, 지역및도시,1091572000,0,0,1091572000,0,0
2014, 전남,4611000, 전남목포시,120, 수송및교통,126, 대중교통ㆍ물류등기타,3757742000,0,0,3757742000,0,0
2014, 전남,4611000, 전남목포시,80, 사회복지,89, 사회복지일반,0,209648000,0,0,174348000,0
2014, 전남,4611000, 전남목포시,80, 사회복지,81, 기초생활보장,3592042000,0,0,544777000,0,0
2014, 전남,4611000, 전남목포시,900, 기타,901, 기타,0,0,9489206000,0,0,9489206000
2014, 전남,4611000, 전남목포시,160, 예비비,161, 예비비,90423000,0,0,90423000,0,0
2014, 전남,4611000, 전남목포시,140, 국토및지역개발,142, 지역및도시,13015692000,5972000000,0,12715692000,0,0
2014, 전남,4611000, 전남목포시,70, 환경보호,71, 상하수도ㆍ수질,58470804000,0,0,58470804000,0,0
2014, 전남,4611000, 전남목포시,900, 기타,901, 기타,0,0,79647817000,5235956000,0,79647817000
2014, 전남,4611000, 전남목포시,160, 예비비,161, 예비비,6543245000,0,0,6543245000,0,0
2014, 전남,4611000, 전남목포시,140, 국토및지역개발,143, 산업단지,37640000,0,0,37640000,0,0
2014, 전남,4611000, 전남목포시,140, 국토및지역개발,142, 지역및도시,31413605000,0,0,31413605000,0,0
2014, 전남,4611000, 전남목포시,140, 국토및지역개발,141, 수자원,0,0,0,0,0,0
2014, 전남,4611000, 전남목포시,120, 수송및교통,126, 대중교통ㆍ물류등기타,15379742000,262000000,0,15379742000,0,0
2014, 전남,4611000, 전남목포시,120, 수송및교통,121, 도로,9920209000,5216028000,0,9920209000,0,0
2014, 전남,4611000, 전남목포시,110, 산업ㆍ중소기업,116, 산업ㆍ중소기업일반,719175000,0,0,719175000,0,0
2014, 전남,4611000, 전남목포시,110, 산업ㆍ중소기업,114, 산업진흥ㆍ고도화,2788443000,0,0,2690443000,0,0
2014, 전남,4611000, 전남목포시,110, 산업ㆍ중소기업,113, 무역및투자유치,1947157000,0,0,1947157000,0,0
2014, 전남,4611000, 전남목포시,110, 산업ㆍ중소기업,111, 산업금융지원,0,0,0,0,0,0
2014, 전남,4611000, 전남목포시,100, 농림해양수산,103, 해양수산ㆍ어촌,6131589000,0,0,6033485000,0,0
2014, 전남,4611000, 전남목포시,100, 농림해양수산,102, 임업ㆍ산촌,1601917000,0,0,1601917000,0,0
