회계연도, 지역명, 자치단체코드, 자치단체명, 분야코드, 분야명, 부문코드, 부문명, 정책사업예산총계, 행정운영경비총계, 재무활동총계, 정책사업예산순계, 재무활동순계, 행정운영경비순계
2014, 경북,4711000, 경북포항시,900, 기타,901, 기타,0,0,18570233000,0,0,18570233000
2014, 경북,4711000, 경북포항시,140, 국토및지역개발,143, 산업단지,0,0,0,0,0,0
2014, 경북,4711000, 경북포항시,140, 국토및지역개발,142, 지역및도시,1220000000,0,0,1220000000,0,0
2014, 경북,4711000, 경북포항시,120, 수송및교통,126, 대중교통ㆍ물류등기타,10083876000,2066095000,0,10083876000,2066095000,0
2014, 경북,4711000, 경북포항시,110, 산업ㆍ중소기업,116, 산업ㆍ중소기업일반,1750000000,0,0,1750000000,0,0
2014, 경북,4711000, 경북포항시,110, 산업ㆍ중소기업,115, 에너지및자원개발,2690000000,0,0,2690000000,0,0
2014, 경북,4711000, 경북포항시,80, 사회복지,88, 주택,690000000,0,0,690000000,0,0
2014, 경북,4711000, 경북포항시,80, 사회복지,81, 기초생활보장,8488305000,138916000,0,2768282000,138916000,0
2014, 경북,4711000, 경북포항시,70, 환경보호,76, 환경보호일반,0,0,0,0,0,0
2014, 경북,4711000, 경북포항시,70, 환경보호,72, 폐기물,24812332000,3562373000,0,24812332000,3562373000,0
2014, 경북,4711000, 경북포항시,70, 환경보호,71, 상하수도ㆍ수질,290000000,0,0,290000000,0,0
2014, 경북,4711000, 경북포항시,20, 공공질서및안전,25, 재난방재ㆍ민방위,1047870000,0,0,1047870000,0,0
2014, 경북,4711000, 경북포항시,900, 기타,901, 기타,0,0,17092514000,0,0,17092514000
2014, 경북,4711000, 경북포항시,70, 환경보호,71, 상하수도ㆍ수질,1.37798E+11,99730000,0,1.3767E+11,99730000,0
2014, 경북,4711000, 경북포항시,900, 기타,901, 기타,0,0,1.30625E+11,44788776000,0,1.30625E+11
2014, 경북,4711000, 경북포항시,160, 예비비,161, 예비비,15474368000,0,0,15474368000,0,0
2014, 경북,4711000, 경북포항시,150, 과학기술,153, 과학기술일반,0,0,0,0,0,0
