회계연도, 지역명, 자치단체코드, 자치단체명, 분야코드, 분야명, 부문코드, 부문명, 정책사업예산총계, 행정운영경비총계, 재무활동총계, 정책사업예산순계, 재무활동순계, 행정운영경비순계
2014, 광주,2911000, 광주동구,900, 기타,901, 기타,0,0,58557000,0,0,58557000
2014, 광주,2911000, 광주동구,140, 국토및지역개발,142, 지역및도시,3629821000,0,0,3629821000,0,0
2014, 광주,2911000, 광주동구,120, 수송및교통,126, 대중교통ㆍ물류등기타,2597300000,0,0,2597300000,0,0
2014, 광주,2911000, 광주동구,80, 사회복지,82, 취약계층지원,0,0,0,0,0,0
2014, 광주,2911000, 광주동구,80, 사회복지,81, 기초생활보장,306235000,0,0,306235000,0,0
2014, 광주,2911000, 광주동구,900, 기타,901, 기타,0,0,42601869000,5558236000,0,42601869000
2014, 광주,2911000, 광주동구,160, 예비비,161, 예비비,1779580000,0,0,1779580000,0,0
2014, 광주,2911000, 광주동구,140, 국토및지역개발,142, 지역및도시,2650042000,370839000,0,2600042000,370839000,0
2014, 광주,2911000, 광주동구,140, 국토및지역개발,141, 수자원,0,0,0,0,0,0
2014, 광주,2911000, 광주동구,120, 수송및교통,126, 대중교통ㆍ물류등기타,94695000,0,0,94695000,0,0
2014, 광주,2911000, 광주동구,120, 수송및교통,121, 도로,253491000,0,0,253491000,0,0
2014, 광주,2911000, 광주동구,110, 산업ㆍ중소기업,115, 에너지및자원개발,727408000,0,0,727408000,0,0
2014, 광주,2911000, 광주동구,110, 산업ㆍ중소기업,114, 산업진흥ㆍ고도화,1330021000,0,0,1330021000,0,0
2014, 광주,2911000, 광주동구,100, 농림해양수산,102, 임업ㆍ산촌,224155000,0,0,224155000,0,0
2014, 광주,2911000, 광주동구,100, 농림해양수산,101, 농업ㆍ농촌,723888000,0,0,723888000,0,0
2014, 광주,2911000, 광주동구,90, 보건,93, 식품의약안전,70861000,0,0,70861000,0,0
2014, 광주,2911000, 광주동구,90, 보건,91, 보건의료,4206687000,0,0,4206687000,0,0
2014, 광주,2911000, 광주동구,80, 사회복지,89, 사회복지일반,235234000,0,0,235234000,0,0
2014, 광주,2911000, 광주동구,80, 사회복지,87, 보훈,302400000,0,0,302400000,0,0
2014, 광주,2911000, 광주동구,80, 사회복지,86, 노동,2244044000,0,0,2244044000,0,0
2014, 광주,2911000, 광주동구,80, 사회복지,85, 노인ㆍ청소년,23660162000,0,0,23660162000,0,0
2014, 광주,2911000, 광주동구,80, 사회복지,84, 보육ㆍ가족및여성,20111167000,0,0,20111167000,0,0
2014, 광주,2911000, 광주동구,80, 사회복지,82, 취약계층지원,24141452000,0,0,24141452000,0,0
2014, 광주,2911000, 광주동구,80, 사회복지,81, 기초생활보장,23799122000,0,0,23799122000,0,0
2014, 광주,2911000, 광주동구,70, 환경보호,74, 자연,5200000,0,0,5200000,0,0
2014, 광주,2911000, 광주동구,70, 환경보호,73, 대기,45506000,0,0,45506000,0,0
2014, 광주,2911000, 광주동구,70, 환경보호,72, 폐기물,5865235000,0,0,5588430000,0,0
