회계연도, 지역명, 자치단체코드, 자치단체명, 분야코드, 분야명, 부문코드, 부문명, 정책사업예산총계, 행정운영경비총계, 재무활동총계, 정책사업예산순계, 재무활동순계, 행정운영경비순계,
2015, 제주, 4900000, 제주본청, 010, 일반공공행정, 011, 입법및선거관리, 6167339000, 0, 0, 6167339000, 0, 0,
2015, 제주, 4900000, 제주본청, 010, 일반공공행정, 013, 지방행정ㆍ재정지원, 102111925000, 83199074000, 0, 102111925000, 61208643000, 0,
2015, 제주, 4900000, 제주본청, 010, 일반공공행정, 016, 일반행정, 155959715000, 3000190000, 0, 155959715000, 190000, 0,
2015, 제주, 4900000, 제주본청, 020, 공공질서및안전, 023, 경찰, 1408779000, 0, 0, 1408779000, 0, 0,
2015, 제주, 4900000, 제주본청, 020, 공공질서및안전, 025, 재난방재ㆍ민방위, 66680724000, 9271822000, 0, 66680724000, 6860822000, 0,
2015, 제주, 4900000, 제주본청, 020, 공공질서및안전, 026, 소방, 27150691000, 0, 0, 27150691000, 0, 0,
2015, 제주, 4900000, 제주본청, 050, 교육, 051, 유아및초중등교육, 53734703000, 0, 0, 53734703000, 0, 0,
2015, 제주, 4900000, 제주본청, 050, 교육, 052, 고등교육, 750000000, 0, 0, 750000000, 0, 0,
2015, 제주, 4900000, 제주본청, 050, 교육, 053, 평생ㆍ직업교육, 3516160000, 0, 0, 3516160000, 0, 0,
2015, 제주, 4900000, 제주본청, 060, 문화및관광, 061, 문화예술, 63192335000, 0, 0, 63192335000, 0, 0,
2015, 제주, 4900000, 제주본청, 060, 문화및관광, 062, 관광, 28416639000, 170000000, 0, 28416639000, 170000000, 0,
2015, 제주, 4900000, 제주본청, 060, 문화및관광, 063, 체육, 48992727000, 0, 0, 48992727000, 0, 0,
2015, 제주, 4900000, 제주본청, 060, 문화및관광, 064, 문화재, 32373511000, 0, 0, 32373511000, 0, 0,
2015, 제주, 4900000, 제주본청, 060, 문화및관광, 065, 문화및관광일반, 0, 0, 0, 0, 0, 0,
