회계연도, 지역명, 자치단체코드, 자치단체명, 분야코드, 분야명, 부문코드, 부문명, 정책사업예산총계, 행정운영경비총계, 재무활동총계, 정책사업예산순계, 재무활동순계, 행정운영경비순계
2015, 경남,4811000, 경남창원시,10, 일반공공행정,11, 입법및선거관리,3318527000,0,0,3318527000,0,0
2015, 경남,4811000, 경남창원시,10, 일반공공행정,13, 지방행정ㆍ재정지원,4325261000,0,0,4325261000,0,0
2015, 경남,4811000, 경남창원시,10, 일반공공행정,14, 재정ㆍ금융,0,0,0,0,0,0
2015, 경남,4811000, 경남창원시,10, 일반공공행정,16, 일반행정,76830130000,0,0,76830130000,0,0
2015, 경남,4811000, 경남창원시,20, 공공질서및안전,25, 재난방재ㆍ민방위,15445680000,3110000000,0,15445680000,3110000000,0
2015, 경남,4811000, 경남창원시,20, 공공질서및안전,26, 소방,11486268000,0,0,11486268000,0,0
2015, 경남,4811000, 경남창원시,50, 교육,51, 유아및초중등교육,16117488000,0,0,16117488000,0,0
2015, 경남,4811000, 경남창원시,50, 교육,53, 평생ㆍ직업교육,7473693000,3374053000,0,7473693000,3374053000,0
2015, 경남,4811000, 경남창원시,60, 문화및관광,61, 문화예술,31149200000,250000,0,31149200000,250000,0
2015, 경남,4811000, 경남창원시,60, 문화및관광,62, 관광,11664871000,0,0,11664871000,0,0
2015, 경남,4811000, 경남창원시,60, 문화및관광,63, 체육,74576052000,0,0,74576052000,0,0
2015, 경남,4811000, 경남창원시,60, 문화및관광,64, 문화재,8125994000,0,0,8125994000,0,0
2015, 경남,4811000, 경남창원시,60, 문화및관광,65, 문화및관광일반,112288000,0,0,112288000,0,0
2015, 경남,4811000, 경남창원시,70, 환경보호,71, 상하수도ㆍ수질,19667311000,1323000000,0,19667311000,1313000000,0
2015, 경남,4811000, 경남창원시,70, 환경보호,72, 폐기물,75260016000,351200000,0,75260016000,151200000,0
2015, 경남,4811000, 경남창원시,70, 환경보호,73, 대기,1259550000,0,0,1259550000,0,0
