회계연도, 지역명, 자치단체코드, 자치단체명, 분야코드, 분야명, 부문코드, 부문명, 정책사업예산총계, 행정운영경비총계, 재무활동총계, 정책사업예산순계, 재무활동순계, 행정운영경비순계
2015, 강원,4211000, 강원춘천시,10, 일반공공행정,11, 입법및선거관리,1505956000,0,0,1505956000,0,0
2015, 강원,4211000, 강원춘천시,10, 일반공공행정,13, 지방행정ㆍ재정지원,1729159000,0,0,1729159000,0,0
2015, 강원,4211000, 강원춘천시,10, 일반공공행정,14, 재정ㆍ금융,0,27599351000,0,0,25526351000,0
2015, 강원,4211000, 강원춘천시,10, 일반공공행정,16, 일반행정,21575020000,0,0,21575020000,0,0
2015, 강원,4211000, 강원춘천시,20, 공공질서및안전,25, 재난방재ㆍ민방위,6041320000,1171103000,0,5241320000,1171103000,0
2015, 강원,4211000, 강원춘천시,50, 교육,51, 유아및초중등교육,10298237000,0,0,10263237000,0,0
2015, 강원,4211000, 강원춘천시,50, 교육,52, 고등교육,0,0,0,0,0,0
2015, 강원,4211000, 강원춘천시,50, 교육,53, 평생ㆍ직업교육,0,0,0,0,0,0
2015, 강원,4211000, 강원춘천시,60, 문화및관광,61, 문화예술,19369357000,0,0,19369357000,0,0
2015, 강원,4211000, 강원춘천시,60, 문화및관광,62, 관광,14944511000,0,0,7484511000,0,0
2015, 강원,4211000, 강원춘천시,60, 문화및관광,63, 체육,10550712000,0,0,10550712000,0,0
2015, 강원,4211000, 강원춘천시,60, 문화및관광,64, 문화재,2643418000,0,0,2643418000,0,0
2015, 강원,4211000, 강원춘천시,70, 환경보호,71, 상하수도ㆍ수질,3184343000,1772500000,0,3184343000,0,0
2015, 강원,4211000, 강원춘천시,70, 환경보호,72, 폐기물,19032324000,250000000,0,19032324000,250000000,0
2015, 강원,4211000, 강원춘천시,70, 환경보호,73, 대기,651687000,0,0,651687000,0,0
2015, 강원,4211000, 강원춘천시,70, 환경보호,74, 자연,396864000,0,0,396864000,0,0
2015, 강원,4211000, 강원춘천시,80, 사회복지,81, 기초생활보장,39502167000,4420114000,0,39502167000,0,0
2015, 강원,4211000, 강원춘천시,80, 사회복지,82, 취약계층지원,39673566000,0,0,39673566000,0,0
2015, 강원,4211000, 강원춘천시,80, 사회복지,84, 보육ㆍ가족및여성,71664845000,0,0,71664845000,0,0
2015, 강원,4211000, 강원춘천시,80, 사회복지,85, 노인ㆍ청소년,72937331000,87246000,0,72937331000,87246000,0
2015, 강원,4211000, 강원춘천시,80, 사회복지,86, 노동,3002000000,0,0,3002000000,0,0
2015, 강원,4211000, 강원춘천시,80, 사회복지,87, 보훈,2364000000,0,0,2364000000,0,0
