회계연도, 지역명, 자치단체코드, 자치단체명, 분야코드, 분야명, 부문코드, 부문명, 정책사업예산총계, 행정운영경비총계, 재무활동총계, 정책사업예산순계, 재무활동순계, 행정운영경비순계,
2015, 세종, 3200000, 세종본청, 010, 일반공공행정, 011, 입법및선거관리, 1646853000, 0, 0, 1646853000, 0, 0,
2015, 세종, 3200000, 세종본청, 010, 일반공공행정, 013, 지방행정ㆍ재정지원, 2975904000, 0, 0, 2975904000, 0, 0,
2015, 세종, 3200000, 세종본청, 010, 일반공공행정, 016, 일반행정, 41055536000, 3699000, 0, 41055536000, 3699000, 0,
2015, 세종, 3200000, 세종본청, 020, 공공질서및안전, 025, 재난방재ㆍ민방위, 11992715000, 1203870000, 0, 11992715000, 1203870000, 0,
2015, 세종, 3200000, 세종본청, 020, 공공질서및안전, 026, 소방, 11526871000, 0, 0, 11526871000, 0, 0,
2015, 세종, 3200000, 세종본청, 050, 교육, 051, 유아및초중등교육, 44987216000, 0, 0, 44987216000, 0, 0,
2015, 세종, 3200000, 세종본청, 050, 교육, 053, 평생ㆍ직업교육, 152500000, 0, 0, 152500000, 0, 0,
2015, 세종, 3200000, 세종본청, 060, 문화및관광, 061, 문화예술, 3915409000, 0, 0, 3915409000, 0, 0,
2015, 세종, 3200000, 세종본청, 060, 문화및관광, 062, 관광, 1475943000, 0, 0, 1475943000, 0, 0,
2015, 세종, 3200000, 세종본청, 060, 문화및관광, 063, 체육, 13070949000, 0, 0, 13070949000, 0, 0,
2015, 세종, 3200000, 세종본청, 060, 문화및관광, 064, 문화재, 1363106000, 0, 0, 1363106000, 0, 0,
2015, 세종, 3200000, 세종본청, 060, 문화및관광, 065, 문화및관광일반, 0, 500000000, 0, 0, 500000000, 0,
2015, 세종, 3200000, 세종본청, 070, 환경보호, 071, 상하수도ㆍ수질, 3560059000, 30451812000, 0, 3560059000, 43890000, 0,
2015, 세종, 3200000, 세종본청, 070, 환경보호, 072, 폐기물, 7778472000, 76636000, 0, 7778472000, 76636000, 0,
2015, 세종, 3200000, 세종본청, 070, 환경보호, 073, 대기, 458396000, 0, 0, 458396000, 0, 0,
2015, 세종, 3200000, 세종본청, 070, 환경보호, 074, 자연, 873785000, 0, 0, 873785000, 0, 0,
2015, 세종, 3200000, 세종본청, 070, 환경보호, 076, 환경보호일반, 626524000, 0, 0, 626524000, 0, 0,
2015, 세종, 3200000, 세종본청, 080, 사회복지, 081, 기초생활보장, 11722762000, 4062404000, 0, 11722762000, 601935000, 0,
2015, 세종, 3200000, 세종본청, 080, 사회복지, 082, 취약계층지원, 27662636000, 0, 0, 27662636000, 0, 0,
2015, 세종, 3200000, 세종본청, 080, 사회복지, 084, 보육ㆍ가족및여성, 56262325000, 0, 0, 56262325000, 0, 0,
2015, 세종, 3200000, 세종본청, 080, 사회복지, 085, 노인ㆍ청소년, 48895118000, 0, 0, 48895118000, 0, 0,
2015, 세종, 3200000, 세종본청, 080, 사회복지, 086, 노동, 2871120000, 0, 0, 2871120000, 0, 0,
2015, 세종, 3200000, 세종본청, 080, 사회복지, 087, 보훈, 1720320000, 0, 0, 1720320000, 0, 0,
2015, 세종, 3200000, 세종본청, 080, 사회복지, 089, 사회복지일반, 27100000, 0, 0, 27100000, 0, 0,
2015, 세종, 3200000, 세종본청, 090, 보건, 091, 보건의료, 13206786000, 0, 0, 13206786000, 0, 0,
2015, 세종, 3200000, 세종본청, 090, 보건, 093, 식품의약안전, 497552000, 315000000, 0, 497552000, 300000000, 0,
2015, 세종, 3200000, 세종본청, 100, 농림해양수산, 101, 농업ㆍ농촌, 60546301000, 4000000000, 0, 60546301000, 4000000000, 0,
2015, 세종, 3200000, 세종본청, 100, 농림해양수산, 102, 임업ㆍ산촌, 7021005000, 0, 0, 7021005000, 0, 0,
2015, 세종, 3200000, 세종본청, 110, 산업ㆍ중소기업, 111, 산업금융지원, 2708840000, 2964000000, 0, 2708840000, 2964000000, 0,
2015, 세종, 3200000, 세종본청, 110, 산업ㆍ중소기업, 113, 무역및투자유치, 13296947000, 10000000000, 0, 13296947000, 10000000000, 0,
