회계연도, 지역명, 자치단체코드, 자치단체명, 분야코드, 분야명, 부문코드, 부문명, 정책사업예산총계, 행정운영경비총계, 재무활동총계, 정책사업예산순계, 재무활동순계, 행정운영경비순계
2015, 서울,1111000, 서울종로구,10, 일반공공행정,11, 입법및선거관리,1262890000,0,0,1262890000,0,0
2015, 서울,1111000, 서울종로구,10, 일반공공행정,13, 지방행정ㆍ재정지원,621839000,0,0,621839000,0,0
2015, 서울,1111000, 서울종로구,10, 일반공공행정,16, 일반행정,19393920000,4481296000,0,19150171000,4481296000,0
2015, 서울,1111000, 서울종로구,20, 공공질서및안전,25, 재난방재ㆍ민방위,223191000,866649000,0,223191000,866649000,0
2015, 서울,1111000, 서울종로구,50, 교육,51, 유아및초중등교육,4716469000,0,0,4716469000,0,0
2015, 서울,1111000, 서울종로구,50, 교육,53, 평생ㆍ직업교육,139640000,0,0,139640000,0,0
2015, 서울,1111000, 서울종로구,60, 문화및관광,61, 문화예술,3470357000,0,0,3470357000,0,0
2015, 서울,1111000, 서울종로구,60, 문화및관광,62, 관광,1104419000,0,0,1104419000,0,0
2015, 서울,1111000, 서울종로구,60, 문화및관광,63, 체육,1037113000,4656711000,0,1037113000,4656711000,0
2015, 서울,1111000, 서울종로구,60, 문화및관광,64, 문화재,312895000,0,0,312895000,0,0
2015, 서울,1111000, 서울종로구,70, 환경보호,71, 상하수도ㆍ수질,2354687000,0,0,2354687000,0,0
2015, 서울,1111000, 서울종로구,70, 환경보호,72, 폐기물,10454592000,0,0,9634113000,0,0
2015, 서울,1111000, 서울종로구,70, 환경보호,73, 대기,44031000,0,0,44031000,0,0
2015, 서울,1111000, 서울종로구,70, 환경보호,76, 환경보호일반,81578000,23459000,0,81578000,8839000,0
2015, 서울,1111000, 서울종로구,80, 사회복지,81, 기초생활보장,14696912000,128436000,0,14696912000,0,0
2015, 서울,1111000, 서울종로구,80, 사회복지,82, 취약계층지원,11400646000,0,0,11400646000,0,0
2015, 서울,1111000, 서울종로구,80, 사회복지,84, 보육ㆍ가족및여성,32818622000,408474000,0,32818622000,408474000,0
2015, 서울,1111000, 서울종로구,80, 사회복지,85, 노인ㆍ청소년,35257753000,0,0,35257753000,0,0
2015, 서울,1111000, 서울종로구,80, 사회복지,86, 노동,2122565000,0,0,2122565000,0,0
2015, 서울,1111000, 서울종로구,90, 보건,91, 보건의료,5955836000,0,0,5955836000,0,0
2015, 서울,1111000, 서울종로구,90, 보건,93, 식품의약안전,24762000,0,0,24762000,0,0
2015, 서울,1111000, 서울종로구,100, 농림해양수산,102, 임업ㆍ산촌,340203000,0,0,340203000,0,0
2015, 서울,1111000, 서울종로구,110, 산업ㆍ중소기업,115, 에너지및자원개발,69338000,0,0,69338000,0,0
2015, 서울,1111000, 서울종로구,110, 산업ㆍ중소기업,116, 산업ㆍ중소기업일반,484068000,0,0,484068000,0,0
2015, 서울,1111000, 서울종로구,120, 수송및교통,121, 도로,6979199000,0,0,6979199000,0,0
2015, 서울,1111000, 서울종로구,120, 수송및교통,126, 대중교통ㆍ물류등기타,741068000,0,0,741068000,0,0
2015, 서울,1111000, 서울종로구,140, 국토및지역개발,141, 수자원,0,0,0,0,0,0
2015, 서울,1111000, 서울종로구,140, 국토및지역개발,142, 지역및도시,6235660000,193326000,0,6235660000,193326000,0
2015, 서울,1111000, 서울종로구,160, 예비비,161, 예비비,1956753000,0,0,1956753000,0,0
2015, 서울,1111000, 서울종로구,900, 기타,901, 기타,0,0,1.01724E+11,23997043000,0,1.01724E+11
2015, 서울,1111000, 서울종로구,80, 사회복지,81, 기초생활보장,331220000,0,0,331220000,0,0
2015, 서울,1111000, 서울종로구,120, 수송및교통,126, 대중교통ㆍ물류등기타,41478672000,1617668000,0,41318672000,1617668000,0
2015, 서울,1111000, 서울종로구,900, 기타,901, 기타,0,0,3294651000,0,0,3294651000
2015, 서울,1112000, 서울중구,10, 일반공공행정,11, 입법및선거관리,1119579000,0,0,1119579000,0,0
2015, 서울,1112000, 서울중구,10, 일반공공행정,13, 지방행정ㆍ재정지원,844609000,0,0,844609000,0,0
2015, 서울,1112000, 서울중구,10, 일반공공행정,16, 일반행정,18421529000,198436000,0,18172075000,198436000,0
2015, 서울,1112000, 서울중구,20, 공공질서및안전,25, 재난방재ㆍ민방위,1012630000,1076339000,0,1012630000,1076339000,0
2015, 서울,1112000, 서울중구,50, 교육,51, 유아및초중등교육,4623849000,0,0,4623849000,0,0
2015, 서울,1112000, 서울중구,50, 교육,53, 평생ㆍ직업교육,0,0,0,0,0,0
2015, 서울,1112000, 서울중구,60, 문화및관광,61, 문화예술,3343150000,1795475000,0,3343150000,1795475000,0
