회계연도, 지역명, 자치단체코드, 자치단체명, 분야코드, 분야명, 부문코드, 부문명, 정책사업예산총계, 행정운영경비총계, 재무활동총계, 정책사업예산순계, 재무활동순계, 행정운영경비순계
2015, 울산,3111000, 울산중구,10, 일반공공행정,11, 입법및선거관리,930064000,0,0,930064000,0,0
2015, 울산,3111000, 울산중구,10, 일반공공행정,13, 지방행정ㆍ재정지원,765897000,0,0,765897000,0,0
2015, 울산,3111000, 울산중구,10, 일반공공행정,16, 일반행정,10787292000,68218000,0,10787292000,68218000,0
2015, 울산,3111000, 울산중구,20, 공공질서및안전,25, 재난방재ㆍ민방위,2984116000,216131000,0,2984116000,216131000,0
2015, 울산,3111000, 울산중구,50, 교육,53, 평생ㆍ직업교육,1131535000,595919000,0,1131535000,595919000,0
2015, 울산,3111000, 울산중구,60, 문화및관광,61, 문화예술,3298719000,0,0,3298719000,0,0
2015, 울산,3111000, 울산중구,60, 문화및관광,62, 관광,142497000,0,0,142497000,0,0
2015, 울산,3111000, 울산중구,60, 문화및관광,63, 체육,2581364000,0,0,2581364000,0,0
2015, 울산,3111000, 울산중구,60, 문화및관광,64, 문화재,5382479000,0,0,5382479000,0,0
2015, 울산,3111000, 울산중구,70, 환경보호,71, 상하수도ㆍ수질,491175000,0,0,491175000,0,0
2015, 울산,3111000, 울산중구,70, 환경보호,72, 폐기물,8576593000,56424000,0,8198593000,56424000,0
2015, 울산,3111000, 울산중구,70, 환경보호,73, 대기,59744000,0,0,59744000,0,0
2015, 울산,3111000, 울산중구,70, 환경보호,74, 자연,316505000,0,0,316505000,0,0
2015, 울산,3111000, 울산중구,70, 환경보호,76, 환경보호일반,176408000,0,0,144008000,0,0
2015, 울산,3111000, 울산중구,80, 사회복지,81, 기초생활보장,17279344000,0,0,17279344000,0,0
2015, 울산,3111000, 울산중구,80, 사회복지,82, 취약계층지원,10669237000,0,0,10669237000,0,0
2015, 울산,3111000, 울산중구,80, 사회복지,84, 보육ㆍ가족및여성,46228470000,0,0,46228470000,0,0
2015, 울산,3111000, 울산중구,80, 사회복지,85, 노인ㆍ청소년,47002955000,0,0,47002955000,0,0
2015, 울산,3111000, 울산중구,80, 사회복지,86, 노동,1983965000,0,0,1983965000,0,0
2015, 울산,3111000, 울산중구,80, 사회복지,87, 보훈,967504000,0,0,967504000,0,0
2015, 울산,3111000, 울산중구,90, 보건,91, 보건의료,6959951000,0,0,6959951000,0,0
2015, 울산,3111000, 울산중구,90, 보건,93, 식품의약안전,449030000,0,0,449030000,0,0
2015, 울산,3111000, 울산중구,100, 농림해양수산,101, 농업ㆍ농촌,1670138000,0,0,1670138000,0,0
2015, 울산,3111000, 울산중구,100, 농림해양수산,102, 임업ㆍ산촌,2115294000,0,0,2083555000,0,0
2015, 울산,3111000, 울산중구,110, 산업ㆍ중소기업,114, 산업진흥ㆍ고도화,4835987000,0,0,4835987000,0,0
2015, 울산,3111000, 울산중구,110, 산업ㆍ중소기업,115, 에너지및자원개발,6418000,0,0,6418000,0,0
2015, 울산,3111000, 울산중구,120, 수송및교통,121, 도로,2938960000,84777000,0,2938960000,84777000,0
2015, 울산,3111000, 울산중구,120, 수송및교통,126, 대중교통ㆍ물류등기타,451554000,0,0,451554000,0,0
2015, 울산,3111000, 울산중구,140, 국토및지역개발,142, 지역및도시,8320878000,0,0,8320878000,0,0
2015, 울산,3111000, 울산중구,160, 예비비,161, 예비비,2610648000,0,0,2610648000,0,0
2015, 울산,3111000, 울산중구,900, 기타,901, 기타,0,0,47055426000,7357352000,0,47055426000
