시도명,시군구명,읍면동명,인구사회 부문,산업경제 부문,물리환경 부문,과거대비인구변화(%),최근인구변화(연속감소년수),과거대비사업체변화(%),최근사업체변화(연속감소년수),노후건축물비율(%),부합부문(개수),2개 부문 이상 부합여부
경기도,경기도 수원시,파장동,X,X,O,-9.58,2.00,-1.12,1.00,65.13,1,X
경기도,경기도 수원시,율천동,O,X,X,-2.10,3.00,2.65,1.00,45.94,1,X
경기도,경기도 수원시,정자1동,X,X,O,-13.33,2.00,-0.82,1.00,72.36,1,X
경기도,경기도 수원시,정자2동,O,X,O,-4.58,4.00,0.62,0.00,69.41,2,O
경기도,경기도 수원시,영화동,O,X,O,-17.91,4.00,-2.45,1.00,67.16,2,O
경기도,경기도 수원시,송죽동,O,X,O,-10.82,5.00,-2.82,2.00,70.77,2,O
경기도,경기도 수원시,조원1동,O,O,O,-8.37,5.00,-4.33,3.00,70.70,3,O
경기도,경기도 수원시,연무동,O,O,O,-35.83,5.00,-9.76,3.00,78.87,3,O
경기도,경기도 수원시,정자3동,O,X,X,-5.61,5.00,0.38,0.00,1.24,1,X
경기도,경기도 수원시,조원2동,X,X,X,-2.00,2.00,1.02,0.00,4.70,0,X
경기도,경기도 수원시,세류1동,O,O,O,-50.60,3.00,-61.54,1.00,78.33,3,O
경기도,경기도 수원시,세류2동,O,O,O,-28.98,2.00,-7.29,3.00,74.54,3,O
경기도,경기도 수원시,세류3동,O,X,O,-16.49,5.00,-4.59,1.00,76.53,2,O
경기도,경기도 수원시,평동,O,X,O,-4.88,4.00,6.77,0.00,50.13,2,O
경기도,경기도 수원시,서둔동,O,X,O,-2.12,5.00,6.12,0.00,53.15,2,O
경기도,경기도 수원시,구운동,O,X,O,-58.54,3.00,0.36,0.00,60.17,2,O
경기도,경기도 수원시,권선1동,O,X,O,-8.26,4.00,-2.06,1.00,71.36,2,O
경기도,경기도 수원시,곡선동,O,X,X,-25.49,2.00,3.46,0.00,2.37,1,X
경기도,경기도 수원시,입북동,X,X,X,26.53,2.00,11.56,1.00,24.44,0,X
