,시군구명,읍면동명,과거대비인구변화...,최근인구변화.연속감소년수.,과거대비사업체변화...,최근사업체변화.연속감소년수.,노후건축물비율...,부합부문.개수.,X2개.부문.이상.부합여부
1,경기도 수원시,파장동,-9.58,2,-1.12,1,65.13,1,0
2,경기도 수원시,율천동,-2.1,3,2.65,1,45.94,1,0
3,경기도 수원시,정자1동,-13.33,2,-0.82,1,72.36,1,0
4,경기도 수원시,정자2동,-4.58,4,0.62,0,69.41,2,1
5,경기도 수원시,영화동,-17.91,4,-2.45,1,67.16,2,1
6,경기도 수원시,송죽동,-10.82,5,-2.82,2,70.77,2,1
7,경기도 수원시,조원1동,-8.37,5,-4.33,3,70.7,3,1
8,경기도 수원시,연무동,-35.83,5,-9.76,3,78.87,3,1
9,경기도 수원시,정자3동,-5.61,5,0.38,0,1.24,1,0
10,경기도 수원시,조원2동,-2,2,1.02,0,4.7,0,0
11,경기도 수원시,세류1동,-50.6,3,-61.54,1,78.33,3,1
12,경기도 수원시,세류2동,-28.98,2,-7.29,3,74.54,3,1
13,경기도 수원시,세류3동,-16.49,5,-4.59,1,76.53,2,1
14,경기도 수원시,평동,-4.88,4,6.77,0,50.13,2,1
15,경기도 수원시,서둔동,-2.12,5,6.12,0,53.15,2,1
16,경기도 수원시,구운동,-58.54,3,0.36,0,60.17,2,1
17,경기도 수원시,권선1동,-8.26,4,-2.06,1,71.36,2,1
18,경기도 수원시,곡선동,-25.49,2,3.46,0,2.37,1,0
19,경기도 수원시,입북동,26.53,2,11.56,1,24.44,0,0
20,경기도 수원시,금호동,61.33,1,0.08,0,28.16,0,0
21,경기도 수원시,권선2동,33.84,2,-15.81,2,48.71,1,0
22,경기도 수원시,지동,-50.76,5,-17.01,1,82.88,3,1
23,경기도 수원시,우만1동,-27.14,4,-0.84,2,79.31,2,1
24,경기도 수원시,우만2동,-9.94,2,1.9,1,50.36,1,0
25,경기도 수원시,인계동,-2.84,1,2.37,0,67.72,1,0
26,경기도 수원시,매교동,-37.73,5,-12.43,0,80.25,3,1
27,경기도 수원시,매산동,-15.18,5,6.39,0,73.04,2,1
28,경기도 수원시,고등동,-63.33,5,-34.41,3,79,3,1
29,경기도 수원시,화서1동,-22,5,-5.71,1,74.81,3,1
30,경기도 수원시,화서2동,-2.03,2,-0.94,1,31.35,0,0
31,경기도 수원시,행궁동,-10.95,5,-16.74,2,83.28,3,1
32,경기도 수원시,매탄1동,-8.77,4,-6.45,2,66.3,3,1
33,경기도 수원시,매탄2동,-63.11,5,-3.79,2,84.93,2,1
34,경기도 수원시,매탄3동,-3.26,2,3.91,0,42.86,0,0
35,경기도 수원시,매탄4동,-19.2,5,-8.48,2,86.08,3,1
36,경기도 수원시,영통1동,-11.02,5,2.99,0,0.66,1,0
37,경기도 수원시,영통2동,-9.15,5,1.03,1,8.47,1,0
38,경기도 수원시,태장동,25.29,0,6.88,0,20.27,0,0
39,경기도 수원시,원천동,23.36,1,8.18,0,35.97,0,0
40,경기도 수원시,광교동,0,1,46.52,0,1.16,0,0
41,경기도 성남시,신흥1동,-36.16,4,-20.37,3,87.71,3,1
42,경기도 성남시,신흥2동,-20.42,5,-2.39,1,89.19,2,1
43,경기도 성남시,신흥3동,-38.17,5,-6.02,2,88.22,3,1
44,경기도 성남시,태평1동,-23.15,5,-2.49,2,83.45,2,1
45,경기도 성남시,태평2동,-50.19,5,-7.01,1,85.21,3,1
46,경기도 성남시,태평3동,-30.54,5,-22.63,2,85.35,3,1
47,경기도 성남시,태평4동,-31.1,5,-14.81,2,90.31,3,1
48,경기도 성남시,수진1동,-41.11,5,-10.77,3,89.38,3,1
49,경기도 성남시,수진2동,-18.53,5,-7.85,2,81.67,3,1
50,경기도 성남시,단대동,-19.36,2,-10.17,1,69.32,2,1
51,경기도 성남시,산성동,-32.03,5,-8.41,1,82.48,3,1
52,경기도 성남시,양지동,-6.8,4,-3.56,1,71.27,2,1
53,경기도 성남시,복정동,-1.87,5,5.98,0,10.54,1,0
54,경기도 성남시,신촌동,-17.33,1,15.25,0,33.46,0,0
55,경기도 성남시,고등동,-55.1,4,-8.33,1,44.32,2,1
56,경기도 성남시,시흥동,-11.18,3,11.95,1,21.3,1,0
57,경기도 성남시,성남동,-9.03,4,-1.38,1,69.28,2,1
58,경기도 성남시,금광1동,-34.73,5,-11.63,2,92.22,3,1
59,경기도 성남시,금광2동,-22.73,5,-4.4,1,80.91,2,1
60,경기도 성남시,은행1동,-25.62,5,-15.48,2,84.36,3,1
61,경기도 성남시,은행2동,-38.68,5,-17.5,1,79.83,3,1
62,경기도 성남시,상대원1동,-22.25,5,5.73,0,72.23,2,1
63,경기도 성남시,상대원2동,-44.24,5,-2.83,1,92.98,2,1
64,경기도 성남시,상대원3동,-42.54,4,-9.67,2,90.42,3,1
65,경기도 성남시,하대원동,-4.37,4,0.66,1,70.39,2,1
66,경기도 성남시,도촌동,95.01,0,42.05,0,4.38,0,0
67,경기도 성남시,중앙동,-36.64,1,-15.99,4,85.67,3,1
68,경기도 성남시,분당동,-8.55,5,-0.5,0,56.8,2,1
69,경기도 성남시,수내3동,-7.17,5,0.2,2,59.13,2,1
70,경기도 성남시,수내1동,-5.48,2,13.54,0,67.63,1,0
71,경기도 성남시,수내2동,-12.5,4,-0.96,2,96.39,2,1
72,경기도 성남시,정자2동,-71.41,3,-4.74,1,91.89,2,1
73,경기도 성남시,정자3동,-1.44,5,-7.61,2,53.81,3,1
74,경기도 성남시,정자1동,-42.66,2,5.63,1,73.07,2,1
75,경기도 성남시,서현1동,-5.93,2,9.19,0,45.54,0,0
76,경기도 성남시,서현2동,-10.97,5,-1.24,1,67.99,2,1
77,경기도 성남시,이매1동,-8.65,5,0.87,1,44.85,1,0
78,경기도 성남시,이매2동,-13.45,5,-4.41,1,96.84,2,1
79,경기도 성남시,야탑1동,-10.18,5,3.69,1,67.01,2,1
80,경기도 성남시,야탑3동,-9.14,5,8.5,1,64.07,2,1
81,경기도 성남시,야탑2동,-17,4,0.19,1,85.36,2,1
82,경기도 성남시,구미동,-10.78,4,7.59,1,53.97,2,1
83,경기도 성남시,운중동,31.38,0,18.2,0,7.46,0,0
84,경기도 성남시,금곡동,-37.87,1,1.74,1,28.24,1,0
85,경기도 성남시,구미1동,-8.39,2,1.2,2,63.26,1,0
86,경기도 성남시,삼평동,26.96,2,25.6,0,0,0,0
