시도명,시군구명,읍면동명,인구사회 부문,산업경제 부문,물리환경 부문,과거대비인구변화(%),최근인구변화(연속감소년수),과거대비사업체변화(%),최근사업체변화(연속감소년수),노후건축물비율(%),부합부문(개수),2개 부문 이상 부합여부
서울특별시,서울특별시 종로구,사직동,O,X,O,-17.50,5.00,-0.37,0.00,69.78,2,O
서울특별시,서울특별시 종로구,삼청동,O,X,O,-71.24,5.00,15.23,1.00,74.92,2,O
서울특별시,서울특별시 종로구,부암동,O,X,O,-21.26,5.00,-1.58,2.00,75.93,2,O
서울특별시,서울특별시 종로구,평창동,X,X,O,0.93,2.00,1.12,0.00,66.32,1,X
서울특별시,서울특별시 종로구,무악동,O,O,O,-40.16,1.00,-8.75,1.00,50.81,3,O
서울특별시,서울특별시 종로구,교남동,O,O,O,-65.61,5.00,-65.43,5.00,65.14,3,O
서울특별시,서울특별시 종로구,가회동,O,X,O,-56.26,5.00,16.58,2.00,57.57,2,O
서울특별시,서울특별시 종로구,종로1·2·3·4가동,X,O,O,12.67,2.00,-8.21,1.00,74.84,2,O
서울특별시,서울특별시 종로구,종로5·6가동,O,X,O,-65.62,5.00,0.21,0.00,83.54,2,O
서울특별시,서울특별시 종로구,이화동,O,X,O,-57.42,5.00,16.47,0.00,69.71,2,O
서울특별시,서울특별시 종로구,창신제1동,O,X,O,-55.57,5.00,6.67,1.00,90.56,2,O
서울특별시,서울특별시 종로구,창신제2동,O,O,O,-59.22,5.00,-16.22,1.00,78.65,3,O
서울특별시,서울특별시 종로구,창신제3동,O,X,O,-50.47,5.00,4.88,0.00,89.29,2,O
서울특별시,서울특별시 종로구,숭인제1동,O,X,O,-49.34,5.00,-0.60,1.00,83.76,2,O
서울특별시,서울특별시 종로구,숭인제2동,O,X,O,-42.89,1.00,2.77,1.00,75.05,2,O
서울특별시,서울특별시 종로구,청운효자동,O,X,O,-5.28,5.00,31.37,0.00,60.26,2,O
서울특별시,서울특별시 종로구,혜화동,X,X,O,58.36,2.00,6.10,1.00,71.25,1,X
