,시군구명,읍면동명,과거대비인구변화...,최근인구변화.연속감소년수.,과거대비사업체변화...,최근사업체변화.연속감소년수.,노후건축물비율...,부합부문.개수.,X2개.부문.이상.부합여부
1,서울특별시 종로구,사직동,-17.5,5,-0.37,0,69.78,2,1
2,서울특별시 종로구,삼청동,-71.24,5,15.23,1,74.92,2,1
3,서울특별시 종로구,부암동,-21.26,5,-1.58,2,75.93,2,1
4,서울특별시 종로구,평창동,0.93,2,1.12,0,66.32,1,0
5,서울특별시 종로구,무악동,-40.16,1,-8.75,1,50.81,3,1
6,서울특별시 종로구,교남동,-65.61,5,-65.43,5,65.14,3,1
7,서울특별시 종로구,가회동,-56.26,5,16.58,2,57.57,2,1
8,서울특별시 종로구,종로1·2·3·4가동,12.67,2,-8.21,1,74.84,2,1
9,서울특별시 종로구,종로5·6가동,-65.62,5,0.21,0,83.54,2,1
10,서울특별시 종로구,이화동,-57.42,5,16.47,0,69.71,2,1
11,서울특별시 종로구,창신제1동,-55.57,5,6.67,1,90.56,2,1
12,서울특별시 종로구,창신제2동,-59.22,5,-16.22,1,78.65,3,1
13,서울특별시 종로구,창신제3동,-50.47,5,4.88,0,89.29,2,1
14,서울특별시 종로구,숭인제1동,-49.34,5,-0.6,1,83.76,2,1
15,서울특별시 종로구,숭인제2동,-42.89,1,2.77,1,75.05,2,1
16,서울특별시 종로구,청운효자동,-5.28,5,31.37,0,60.26,2,1
17,서울특별시 종로구,혜화동,58.36,2,6.1,1,71.25,1,0
18,서울특별시 중구,소공동,-59.06,3,6.8,1,83.65,2,1
19,서울특별시 중구,회현동,-52.37,3,-9.91,1,89.81,3,1
20,서울특별시 중구,명동,-35.19,5,-11.8,2,86.88,3,1
21,서울특별시 중구,필동,-48.69,5,0.83,1,77.65,2,1
22,서울특별시 중구,장충동,-43.26,5,0.95,1,70.11,2,1
23,서울특별시 중구,광희동,-47.93,4,-24.37,1,89.11,3,1
24,서울특별시 중구,을지로동,-81.39,5,-12.23,1,93.52,3,1
25,서울특별시 중구,신당제5동,-43.5,2,6.14,0,80.24,2,1
26,서울특별시 중구,황학동,-46.56,2,-9.7,0,82.63,3,1
27,서울특별시 중구,중림동,-55.3,5,8.38,1,80.08,2,1
28,서울특별시 중구,신당동,-47.71,3,-1.01,1,87.62,2,1
29,서울특별시 중구,다산동,-14,5,22.82,1,66.31,2,1
30,서울특별시 중구,약수동,-33.25,5,0.27,0,70.67,2,1
31,서울특별시 중구,청구동,-13.67,5,5.05,1,75.27,2,1
32,서울특별시 중구,동화동,-23.52,3,-10.95,1,69.31,3,1
33,서울특별시 용산구,후암동,-25.84,5,-4.01,1,75.41,2,1
34,서울특별시 용산구,용산2가동,-47.41,5,-7.5,1,76.78,3,1
35,서울특별시 용산구,남영동,-43.8,1,-0.25,1,87.24,2,1
36,서울특별시 용산구,원효로제2동,-25.57,3,-6.25,1,79.92,3,1
37,서울특별시 용산구,효창동,-21.98,5,-2.68,1,75.39,2,1
38,서울특별시 용산구,용문동,-31.22,3,-4.74,1,71.01,2,1
39,서울특별시 용산구,이촌제1동,-2.31,3,1.52,1,49.82,1,0
40,서울특별시 용산구,이촌제2동,-41.04,5,-2.3,2,81.82,2,1
41,서울특별시 용산구,이태원제1동,-50.32,5,-0.06,1,84.07,2,1
42,서울특별시 용산구,이태원제2동,-55.81,5,15.8,1,75.16,2,1
43,서울특별시 용산구,서빙고동,-21.75,4,-0.28,1,83.11,2,1
44,서울특별시 용산구,보광동,-37.88,5,-12.92,2,92.07,3,1
