name,population,population_year,business,business_year,old_building,pass
경기도 수원시 정자2동,-4.58,4,0.62,0,69.41,2
경기도 수원시 영화동,-17.91,4,-2.45,1,67.16,2
경기도 수원시 송죽동,-10.82,5,-2.82,2,70.77,2
경기도 수원시 조원1동,-8.37,5,-4.33,3,70.7,3
경기도 수원시 연무동,-35.83,5,-9.76,3,78.87,3
경기도 수원시 세류1동,-50.6,3,-61.54,1,78.33,3
경기도 수원시 세류2동,-28.98,2,-7.29,3,74.54,3
경기도 수원시 세류3동,-16.49,5,-4.59,1,76.53,2
경기도 수원시 평동,-4.88,4,6.77,0,50.13,2
경기도 수원시 서둔동,-2.12,5,6.12,0,53.15,2
경기도 수원시 구운동,-58.54,3,0.36,0,60.17,2
경기도 수원시 권선1동,-8.26,4,-2.06,1,71.36,2
경기도 수원시 지동,-50.76,5,-17.01,1,82.88,3
경기도 수원시 우만1동,-27.14,4,-0.84,2,79.31,2
경기도 수원시 매교동,-37.73,5,-12.43,0,80.25,3
경기도 수원시 매산동,-15.18,5,6.39,0,73.04,2
경기도 수원시 고등동,-63.33,5,-34.41,3,79,3
경기도 수원시 화서1동,-22,5,-5.71,1,74.81,3
경기도 수원시 행궁동,-10.95,5,-16.74,2,83.28,3
경기도 수원시 매탄1동,-8.77,4,-6.45,2,66.3,3
경기도 수원시 매탄2동,-63.11,5,-3.79,2,84.93,2
경기도 수원시 매탄4동,-19.2,5,-8.48,2,86.08,3
경기도 성남시 신흥1동,-36.16,4,-20.37,3,87.71,3
경기도 성남시 신흥2동,-20.42,5,-2.39,1,89.19,2
경기도 성남시 신흥3동,-38.17,5,-6.02,2,88.22,3
경기도 성남시 태평1동,-23.15,5,-2.49,2,83.45,2
경기도 성남시 태평2동,-50.19,5,-7.01,1,85.21,3
경기도 성남시 태평3동,-30.54,5,-22.63,2,85.35,3
경기도 성남시 태평4동,-31.1,5,-14.81,2,90.31,3
경기도 성남시 수진1동,-41.11,5,-10.77,3,89.38,3
경기도 성남시 수진2동,-18.53,5,-7.85,2,81.67,3
경기도 성남시 단대동,-19.36,2,-10.17,1,69.32,2
경기도 성남시 산성동,-32.03,5,-8.41,1,82.48,3
경기도 성남시 양지동,-6.8,4,-3.56,1,71.27,2
경기도 성남시 고등동,-55.1,4,-8.33,1,44.32,2
경기도 성남시 성남동,-9.03,4,-1.38,1,69.28,2
경기도 성남시 금광1동,-34.73,5,-11.63,2,92.22,3
경기도 성남시 금광2동,-22.73,5,-4.4,1,80.91,2
경기도 성남시 은행1동,-25.62,5,-15.48,2,84.36,3
경기도 성남시 은행2동,-38.68,5,-17.5,1,79.83,3
경기도 성남시 상대원1동,-22.25,5,5.73,0,72.23,2
경기도 성남시 상대원2동,-44.24,5,-2.83,1,92.98,2
경기도 성남시 상대원3동,-42.54,4,-9.67,2,90.42,3
경기도 성남시 하대원동,-4.37,4,0.66,1,70.39,2
경기도 성남시 중앙동,-36.64,1,-15.99,4,85.67,3
경기도 성남시 분당동,-8.55,5,-0.5,0,56.8,2
경기도 성남시 수내3동,-7.17,5,0.2,2,59.13,2
경기도 성남시 수내2동,-12.5,4,-0.96,2,96.39,2
경기도 성남시 정자2동,-71.41,3,-4.74,1,91.89,2
경기도 성남시 정자3동,-1.44,5,-7.61,2,53.81,3
경기도 성남시 정자1동,-42.66,2,5.63,1,73.07,2
경기도 성남시 서현2동,-10.97,5,-1.24,1,67.99,2
경기도 성남시 이매2동,-13.45,5,-4.41,1,96.84,2
경기도 성남시 야탑1동,-10.18,5,3.69,1,67.01,2
경기도 성남시 야탑3동,-9.14,5,8.5,1,64.07,2
경기도 성남시 야탑2동,-17,4,0.19,1,85.36,2
경기도 성남시 구미동,-10.78,4,7.59,1,53.97,2
경기도 의정부시 의정부1동,-2.86,2,-4.62,3,82.58,2
경기도 의정부시 의정부3동,-20.97,3,-2.09,1,86.7,2
경기도 의정부시 신곡1동,-7.18,5,-4.15,1,69.35,2
경기도 의정부시 송산1동,-2.02,5,0.89,0,55.93,2
경기도 의정부시 자금동,-3.55,5,3.74,1,68.91,2
경기도 의정부시 가능1동,-31.57,4,-1.48,2,86.98,2
경기도 의정부시 가능2동,-34.32,4,-10.9,2,83.63,3
경기도 의정부시 가능3동,-26.79,5,-9.65,1,84.57,3
경기도 의정부시 호원2동,-2.96,4,4.36,1,55.31,2
경기도 안양시 안양1동,-5.4,2,-2.23,3,78.5,2
경기도 안양시 안양2동,-26.49,3,-0.43,1,76.48,2
경기도 안양시 안양3동,-51.84,5,-4.02,2,73.73,2
경기도 안양시 안양4동,-35.6,3,-13.76,2,79.23,3
경기도 안양시 안양5동,-24.79,2,-7.09,2,81.13,3
경기도 안양시 안양6동,-38.73,2,-0.63,1,75.93,2
경기도 안양시 안양7동,-85.46,4,-23.17,3,68.18,3
경기도 안양시 안양8동,-27.12,4,4.9,1,80.72,2
경기도 안양시 안양9동,-4.62,3,-8.74,2,66.34,3
경기도 안양시 석수3동,-23.71,5,-7.78,1,82.99,3
경기도 안양시 박달1동,-23.36,3,-2.86,2,80.6,2
경기도 안양시 비산2동,-47.41,5,0.66,1,66.76,2
경기도 안양시 비산3동,-17.5,5,0,1,77.9,2
경기도 안양시 부흥동,-21.71,5,2.79,0,87.96,2
경기도 안양시 달안동,-31.93,3,5.64,0,79.73,2
경기도 안양시 관양1동,14.69,3,7.15,1,70.57,2
경기도 안양시 관양2동,-21.61,4,13.57,0,67.29,2
경기도 안양시 부림동,-7.94,3,2.14,1,63.48,2
경기도 안양시 평안동,-13.59,5,3.55,1,88.2,2
경기도 안양시 귀인동,-6.01,5,-1.75,1,73.37,2
경기도 안양시 호계1동,-56.45,5,-0.88,2,81.5,2
경기도 안양시 호계2동,-6.38,5,0.26,1,72.85,2
경기도 안양시 범계동,-18.95,5,-0.63,1,77.33,2
경기도 안양시 신촌동,-13.22,5,-1.26,1,71.24,2
경기도 부천시 심곡1동,-60.76,2,-5.3,1,74.98,3
경기도 부천시 심곡3동,-65.82,5,-15.47,2,80.66,3
경기도 부천시 원미1동,-19.51,3,-1.64,2,78.57,2
경기도 부천시 원미2동,-36.8,5,-13.59,3,86.01,3
경기도 부천시 소사동,-30.23,4,-10.18,3,78.49,3
경기도 부천시 춘의동,-32.92,4,-0.7,1,66.56,2
경기도 부천시 도당동,-13.95,5,1.13,1,66.7,2
경기도 부천시 약대동,-7.4,0,-17.44,0,58.82,2
경기도 부천시 중동,-25.66,3,-4.28,3,80.5,3
경기도 부천시 중3동,-32.44,3,-0.35,1,55.91,2
경기도 부천시 중4동,-21.1,4,1.75,0,80.8,2
경기도 부천시 상동,-16.64,2,-21.56,3,78.98,2
경기도 부천시 상1동,-19.71,5,-2.15,1,81.37,2
경기도 부천시 심곡본1동,-19.63,2,-8.08,4,78.28,2
경기도 부천시 심곡본동,-20.64,4,-4.64,1,82.12,2
경기도 부천시 소사본3동,-5.31,5,-4.29,2,84.21,2
경기도 부천시 괴안동,-34.77,4,-1.27,2,65.77,2
