name,population,population_year,business,business_year,old_building,pass
서울특별시 종로구 사직동,-17.49927808,5,-0.365682138,0,69.77950713,2
서울특별시 종로구 삼청동,-71.23742121,5,15.22762951,1,74.91856678,2
서울특별시 종로구 부암동,-21.26356589,5,-1.584158416,2,75.93390805,2
서울특별시 종로구 평창동,0.930496454,2,1.121794872,0,66.32471008,1
서울특별시 종로구 무악동,-40.15895629,1,-8.754208754,1,50.80645161,3
서울특별시 종로구 교남동,-65.60563817,5,-65.42893726,5,65.13761468,3
서울특별시 종로구 가회동,-56.25888373,5,16.5820643,2,57.57071547,2
서울특별시 종로구 종로1·2·3·4가동,12.66869096,2,-8.205714286,1,74.84057971,2
서울특별시 종로구 종로5·6가동,-65.62250599,5,0.207441981,0,83.54166667,2
서울특별시 종로구 이화동,-57.42094862,5,16.47164716,0,69.7080292,2
서울특별시 종로구 창신제1동,-55.57412669,5,6.666666667,1,90.55944056,2
서울특별시 종로구 창신제2동,-59.21915716,5,-16.21900826,1,78.64583333,3
서울특별시 종로구 창신제3동,-50.47385287,5,4.87804878,0,89.28571429,2
서울특별시 종로구 숭인제1동,-49.33837429,5,-0.598802395,1,83.76327769,2
서울특별시 종로구 숭인제2동,-42.89231567,1,2.76523702,1,75.0547046,2
서울특별시 종로구 청운효자동,-5.280360256,5,31.36729223,0,60.26352288,2
서울특별시 종로구 혜화동,58.36235523,2,6.098319851,1,71.24681934,1
서울특별시 중구 소공동,-59.05776781,3,6.804501439,1,83.6461126,2
서울특별시 중구 회현동,-52.3652138,3,-9.909415317,1,89.80537535,3
서울특별시 중구 명동,-35.19345238,5,-11.80495086,2,86.88073394,3
서울특별시 중구 필동,-48.68843387,5,0.830003074,1,77.65190525,2
서울특별시 중구 장충동,-43.26332795,5,0.946745562,1,70.1120797,2
서울특별시 중구 광희동,-47.93164408,4,-24.37347188,1,89.10558171,3
서울특별시 중구 을지로동,-81.38881797,5,-12.23086665,1,93.52226721,3
서울특별시 중구 신당제5동,-43.50405263,2,6.141868512,0,80.23668639,2
서울특별시 중구 황학동,-46.56114042,2,-9.69642048,0,82.6311264,3
서울특별시 중구 중림동,-55.29880038,5,8.383233533,1,80.07662835,2
서울특별시 중구 신당동,-47.71047619,3,-1.008527386,1,87.61840325,2
서울특별시 중구 다산동,-14.00400283,5,22.82309808,1,66.30977873,2
서울특별시 중구 약수동,-33.24985771,5,0.268817204,0,70.66666667,2
서울특별시 중구 청구동,-13.67311493,5,5.04587156,1,75.27216174,2
서울특별시 중구 동화동,-23.51653009,3,-10.95041322,1,69.30894309,3
서울특별시 용산구 후암동,-25.83713689,5,-4.005167959,1,75.40514776,2
서울특별시 용산구 용산2가동,-47.40794224,5,-7.5,1,76.78339818,3
서울특별시 용산구 남영동,-43.80151931,1,-0.250469631,1,87.23936614,2
서울특별시 용산구 원효로제2동,-25.57328272,3,-6.25,1,79.91967871,3
서울특별시 용산구 효창동,-21.98490307,5,-2.678571429,1,75.390625,2
서울특별시 용산구 용문동,-31.22290668,3,-4.737732657,1,71.00737101,2
서울특별시 용산구 이촌제1동,-2.310524825,3,1.518987342,1,49.8245614,1
서울특별시 용산구 이촌제2동,-41.03980066,5,-2.298850575,2,81.81818182,2
서울특별시 용산구 이태원제1동,-50.3226822,5,-0.062460962,1,84.07272727,2
서울특별시 용산구 이태원제2동,-55.81336441,5,15.79925651,1,75.16262567,2
서울특별시 용산구 서빙고동,-21.74522293,4,-0.284090909,1,83.11019567,2
서울특별시 용산구 보광동,-37.87654929,5,-12.91560102,2,92.06698986,3
서울특별시 용산구 청파동,-5.276973208,5,-3.144300955,1,76.2851268,2
서울특별시 용산구 원효로제1동,8.156593176,0,6.900584795,1,83.87524884,1
서울특별시 용산구 한강로동,-5.669808626,4,-19.89301237,2,85.72278406,3
서울특별시 용산구 한남동,-1.21995916,5,11.79775281,1,76.01760176,2
서울특별시 성동구 왕십리제2동,-47.78622844,4,-1.041666667,2,78.2129743,2
서울특별시 성동구 마장동,-21.29150168,5,-0.446594715,1,79.91290147,2
서울특별시 성동구 사근동,-24.73583356,2,-14.83050847,2,74.85331098,3
서울특별시 성동구 행당제1동,-36.71924008,5,0.388500389,1,77.43589744,2
서울특별시 성동구 행당제2동,-14.52431071,5,-4.408817635,1,44.35028249,1
서울특별시 성동구 응봉동,-29.21772741,5,-11.07594937,1,75.2173913,3
서울특별시 성동구 금호1가동,-47.09556272,5,-31.8597561,2,56.65796345,3
서울특별시 성동구 금호4가동,-29.20182032,3,-14.41307578,3,77.11213518,3
서울특별시 성동구 성수1가제1동,-29.21993217,5,11.84210526,0,85.5227882,2
서울특별시 성동구 성수1가제2동,-19.1192372,5,7.805429864,0,83.28335832,2
서울특별시 성동구 성수2가제1동,-36.48629803,5,2.934433746,0,86.9541183,2
서울특별시 성동구 성수2가제3동,-35.49744173,4,2.695294655,0,73.06122449,2
서울특별시 성동구 송정동,-51.76704398,5,-3.398058252,2,87.04200179,2
서울특별시 성동구 용답동,-38.63427498,5,-1.509985387,0,87.45308311,2
서울특별시 성동구 왕십리도선동,59.44165363,1,-36.23132899,1,86.59003831,2
서울특별시 성동구 금호2·3가동,4.474262015,2,-26.56641604,3,79.68185105,2
서울특별시 성동구 옥수동,-34.09273322,2,-13.80116959,2,60.7748184,3
서울특별시 광진구 화양동,-25.67981114,1,1.852631579,0,77.22075638,2
서울특별시 광진구 군자동,-12.65500795,5,-4.96031746,2,72.0435428,2
서울특별시 광진구 중곡제1동,-22.84857419,5,-1.471571906,2,72.33656174,2
서울특별시 광진구 중곡제2동,-7.454901108,3,-1.400381922,1,64.85355649,2
서울특별시 광진구 중곡제3동,-31.19909227,5,-3.073089701,2,76.05714286,2
서울특별시 광진구 중곡제4동,-6.589338598,2,-2.580140735,1,64.22131148,1
서울특별시 광진구 능동,-52.3727202,1,2.37388724,2,52.05831904,2
서울특별시 광진구 구의제1동,-38.96311682,2,0.459770115,1,67.95366795,2
서울특별시 광진구 구의제2동,-4.105652653,2,-9.572649573,4,61.46637266,2
서울특별시 광진구 구의제3동,-2.618840327,2,-9.839063643,3,57.94392523,2
서울특별시 광진구 광장동,4.741008687,3,-30.33707865,0,59.78112175,3
서울특별시 광진구 자양제1동,-28.14375206,5,-7.692307692,2,73.54211663,3
서울특별시 광진구 자양제2동,-12.3392887,5,-5.306427504,2,62.64822134,3
서울특별시 광진구 자양제3동,-15.71548408,5,-0.544959128,2,79.09887359,2
서울특별시 광진구 자양제4동,-13.01928202,5,-2.024922118,1,88.18831442,2
서울특별시 동대문구 회기동,-19.67517105,3,-5.079681275,1,75.72156197,3
서울특별시 동대문구 휘경제1동,-33.37414069,5,-1.741803279,1,86.03818616,2
서울특별시 동대문구 휘경제2동,0.676031251,4,-2.076677316,0,68.37972877,2
서울특별시 동대문구 청량리동,-5.011209284,5,-8.876080692,1,85.46335554,3
서울특별시 동대문구 용신동,6.827956989,3,5.129165107,0,80.66832367,2
서울특별시 동대문구 제기동,-0.465189007,5,-9.650516283,2,82.63020833,3
서울특별시 동대문구 전농제1동,21.72982759,3,-3.897294819,1,84.42446043,2
서울특별시 동대문구 전농제2동,10.66809767,5,1.78041543,1,78.41726619,2
서울특별시 동대문구 답십리제2동,-8.89663485,4,-5.642973413,2,77.3925104,3
서울특별시 동대문구 장안제1동,3.144967466,2,1.170160897,1,71.48574287,1
서울특별시 동대문구 장안제2동,0.797401063,2,1.587301587,0,78.91036907,1
서울특별시 동대문구 이문제1동,-4.969636882,5,-5.990133897,1,87.43924277,3
서울특별시 동대문구 이문제2동,-6.346895075,3,-17.715959,2,84.4765343,3
서울특별시 동대문구 답십리제1동,32.26646818,2,-7.75427996,1,83.70629371,2
서울특별시 중랑구 면목제2동,-24.51740254,5,-0.863557858,1,80.90197883,2
서울특별시 중랑구 면목제4동,-21.90281899,3,-1.890989989,2,80.25350233,2
서울특별시 중랑구 면목제5동,-49.9374665,5,-2.787068004,1,81.69934641,2
서울특별시 중랑구 면목제7동,-23.95441064,5,-10.65217391,3,84.38003221,3
서울특별시 중랑구 상봉제1동,2.288932102,2,5.959475566,0,64.22018349,1
서울특별시 중랑구 상봉제2동,-25.921522,3,-2.713178295,2,77.7716492,2
서울특별시 중랑구 중화제1동,-40.51038088,3,0.115740741,1,65.87561375,2
서울특별시 중랑구 중화제2동,-7.799795012,5,-2.256770311,3,87.81144781,3
서울특별시 중랑구 묵제1동,-1.743105737,3,3.330411919,0,58.06666667,2
서울특별시 중랑구 묵제2동,-25.30096468,3,2.034174125,1,72.04441541,2
